%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733037964615422482,1733037964615214347,9,0.71,-0.87,0.61,3.4145796666666666,-78.97,-80.56
1733037964715723146,1733037964715200424,9,0.71,-0.87,0.61,3.427087333333333,-78.99,-80.7
1733037964815644962,1733037964815217256,9,0.71,-0.87,0.61,3.4083256666666664,-78.87,-80.62
1733037964915704262,1733037964915211915,9,0.71,-0.87,0.61,3.4145796666666666,-78.94,-80.53
1733037965015614479,1733037965015218019,9,0.71,-0.87,0.61,3.4208336666666668,-79.06,-80.76
1733037965115404324,1733037965115235090,9,0.71,-0.87,0.61,3.4270876666666665,-79.14,-80.7
1733037965215558874,1733037965215227603,9,0.71,-0.87,0.61,3.4270876666666665,-78.68,-80.48
1733037965315958252,1733037965315324068,9,0.71,-0.87,0.61,3.439595333333333,-78.73,-80.44
1733037965415504877,1733037965415222167,9,0.71,-0.87,0.61,3.4708643333333336,-79.72,-80.96
1733037965515594155,1733037965515214443,9,0.71,-0.87,0.61,3.4646103333333333,-78.98,-80.72
1733037965615639000,1733037965615201950,9,0.71,-0.87,0.61,3.489625333333333,-78.45,-80.38
1733037965715497982,1733037965715216398,9,0.71,-0.87,0.61,3.452102333333333,-79.2,-80.68
1733037965815593092,1733037965815228700,9,0.71,-0.87,0.61,3.4458486666666666,-79.04,-80.74
1733037965915608075,1733037965915235757,9,0.71,-0.87,0.61,3.4208336666666668,-79.06,-80.87
1733037966015469377,1733037966015199184,9,0.71,-0.87,0.61,3.439595333333333,-78.83,-80.56
1733037966115514528,1733037966115231990,9,0.71,-0.87,0.61,3.439595333333333,-79.14,-80.73
1733037966217479681,1733037966217233657,9,0.71,-0.87,0.61,3.4333413333333334,-79.12,-80.61
1733037966317708243,1733037966317558526,9,0.71,-0.87,0.61,3.4208336666666668,-78.96,-80.74
1733037966417827913,1733037966417549848,9,0.71,-0.87,0.61,3.4145796666666666,-78.73,-80.62
1733037966517193385,1733037966517004966,9,0.71,-0.87,0.61,3.4208336666666668,-78.92,-80.48
1733037966617505254,1733037966617282390,9,0.71,-0.87,0.61,3.4333413333333334,-79.17,-80.7
1733037966717227768,1733037966717089891,9,0.71,-0.87,0.61,3.4458490000000004,-78.75,-80.39
1733037966815510725,1733037966815233707,9,0.71,-0.87,0.61,3.4333413333333334,-78.83,-80.54
1733037966915508855,1733037966915230274,9,0.71,-0.87,0.61,3.427087333333333,-78.92,-80.66
1733037967047142632,1733037967046769380,9,0.71,-0.87,0.61,3.408326,-79.22,-81.03
1733037967616725608,1733037967616375207,9,0.71,-0.87,0.61,3.427087333333333,-78.96,-80.47
1733037967716797564,1733037967716421365,9,0.71,-0.87,0.61,3.458356333333333,-79.46,-81.0
1733037967816520218,1733037967816306352,9,0.71,-0.87,0.61,3.439594666666667,-79.09,-80.86
1733037967916586195,1733037967916401386,9,0.71,-0.87,0.61,3.420833333333334,-78.95,-80.51
1733037968016669946,1733037968016393661,9,0.71,-0.87,0.61,3.402072,-78.85,-80.5
1733037968116517288,1733037968116413593,9,0.71,-0.87,0.61,3.4208336666666668,-79.21,-80.54
1733037968216699447,1733037968216488361,9,0.71,-0.87,0.61,3.427087333333333,-79.11,-80.7
1733037968316770313,1733037968316560029,9,0.71,-0.87,0.61,3.427087333333333,-78.91,-80.57
1733037968416491192,1733037968416311740,9,0.71,-0.87,0.61,3.4145796666666666,-79.12,-80.62
1733037968517051770,1733037968516659736,9,0.71,-0.87,0.61,3.427087333333333,-78.89,-80.49
1733037968615557245,1733037968615209817,9,0.71,-0.87,0.61,3.4208336666666668,-78.96,-80.54
1733037968715634764,1733037968715186119,9,0.71,-0.87,0.61,3.4208336666666668,-78.82,-80.39
1733037968818223038,1733037968817946434,9,0.71,-0.87,0.61,3.4270876666666665,-78.76,-80.36
1733037968917881101,1733037968917755126,9,0.71,-0.87,0.61,3.439595333333333,-78.75,-80.46
1733037969017427232,1733037969017184734,9,0.71,-0.87,0.61,3.4458490000000004,-79.03,-80.65
1733037969117476747,1733037969117219686,9,0.71,-0.87,0.61,3.4333413333333334,-78.95,-80.6
1733037969217211965,1733037969217064142,9,0.71,-0.87,0.61,3.427087333333333,-78.74,-80.46
1733037969317244881,1733037969317109346,9,0.71,-0.87,0.61,3.4208336666666668,-79.33,-80.9
1733037969417247899,1733037969417079448,9,0.71,-0.87,0.61,3.4333413333333334,-78.86,-80.38
1733037969517403998,1733037969517311573,9,0.71,-0.87,0.61,3.439595333333333,-78.7,-80.43
