%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730020288379497212,1730020288379241466,5,-2.58,0.87,1.97,5.7159813333333345,-79.27,-81.83
1730020288480158432,1730020288479993343,5,-2.58,0.87,1.97,5.728489000000001,-78.9,-80.57
1730020288579812296,1730020288579512596,5,-2.58,0.87,1.97,5.728489000000001,-79.62,-81.21
1730020288679807472,1730020288679581880,5,-2.58,0.87,1.97,5.728489000000001,-78.59,-81.06
1730020288779995533,1730020288779743671,5,-2.58,0.87,1.97,5.728489000000001,-80.23,-81.4
1730020288879829696,1730020288879635810,5,-2.58,0.87,1.97,5.740996666666668,-79.07,-81.18
1730020288980324586,1730020288980100870,5,-2.58,0.87,1.97,5.747250333333334,-78.98,-81.14
1730020289079616417,1730020289079454183,5,-2.58,0.87,1.97,5.747250333333334,-79.42,-80.62
1730020289180533938,1730020289179916858,5,-2.58,0.87,1.97,5.7347426666666665,-79.11,-80.88
1730020289280071197,1730020289279962062,5,-2.58,0.87,1.97,5.728489000000001,-79.15,-81.91
1730020289379565649,1730020289379376411,5,-2.58,0.87,1.97,5.734743000000001,-79.12,-81.8
1730020289480204331,1730020289479893445,5,-2.58,0.87,1.97,5.759758333333333,-81.43,-83.64
1730020289579009171,1730020289578618764,5,-2.58,0.87,1.97,5.753504333333333,-79.17,-80.69
1730020289679230926,1730020289678928375,5,-2.58,0.87,1.97,5.747250333333334,-78.74,-80.95
1730020289779379784,1730020289779085397,5,-2.58,0.87,1.97,5.728489000000001,-78.81,-80.6
1730020289878776102,1730020289878583192,5,-2.58,0.87,1.97,5.734743000000001,-79.29,-81.07
1730020289977733355,1730020289977442264,5,-2.58,0.87,1.97,5.734743000000001,-79.3,-80.85
1730020290078350718,1730020290077888965,5,-2.58,0.87,1.97,5.728489000000001,-79.47,-81.04
1730020290178013482,1730020290177494287,5,-2.58,0.87,1.97,5.7347426666666665,-78.86,-81.26
1730020290278398488,1730020290277992725,5,-2.58,0.87,1.97,5.740996666666667,-79.73,-81.03
1730020290378178852,1730020290377712726,5,-2.58,0.87,1.97,5.747250666666666,-79.06,-80.83
1730020290476617982,1730020290476141452,5,-2.58,0.87,1.97,5.740997,-79.55,-80.45
1730020290576492782,1730020290576113700,5,-2.58,0.87,1.97,5.728489333333333,-79.22,-80.58
1730020290676877734,1730020290676127195,5,-2.58,0.87,1.97,5.722235333333334,-79.22,-81.5
1730020290777227408,1730020290776108741,5,-2.58,0.87,1.97,5.709727666666667,-79.05,-80.42
1730020290876887593,1730020290876167535,5,-2.58,0.87,1.97,5.728489000000001,-79.01,-80.53
1730020290976444930,1730020290976128578,5,-2.58,0.87,1.97,5.740996666666667,-79.0,-80.87
1730020291076620914,1730020291076108694,5,-2.58,0.87,1.97,5.740996666666667,-79.21,-81.2
1730020291176302912,1730020291176105737,5,-2.58,0.87,1.97,5.715981333333333,-79.11,-80.96
1730020291278146694,1730020291277628421,5,-2.58,0.87,1.97,5.709727666666667,-79.06,-80.63
1730020291377735520,1730020291377516746,5,-2.58,0.87,1.97,5.728489000000001,-78.84,-80.76
1730020291779389746,1730020291779193162,5,-2.58,0.87,1.97,5.709727666666667,-79.27,-80.69
1730020291879198894,1730020291878931522,5,-2.58,0.87,1.97,5.697220000000001,-78.54,-80.43
1730020291978323753,1730020291977914094,5,-2.58,0.87,1.97,5.703474,-79.73,-81.02
1730020292076625071,1730020292076123237,5,-2.58,0.87,1.97,5.709727666666667,-79.16,-80.76
1730020292176684914,1730020292176123380,5,-2.58,0.87,1.97,5.709727666666667,-79.01,-80.44
1730020292276597061,1730020292276088476,5,-2.58,0.87,1.97,5.728489000000001,-81.13,-81.59
1730020292378730522,1730020292378408432,5,-2.58,0.87,1.97,5.740996666666667,-79.05,-81.57
1730020292478829526,1730020292478482007,5,-2.58,0.87,1.97,5.7347426666666665,-79.22,-80.69
1730020292578823233,1730020292578605651,5,-2.58,0.87,1.97,5.728489,-78.74,-80.7
1730020292678945430,1730020292678738117,5,-2.58,0.87,1.97,5.740996666666668,-79.06,-82.37
1730020292776806544,1730020292776152610,5,-2.58,0.87,1.97,5.766012,-79.46,-81.07
1730020292876663528,1730020292876075506,5,-2.58,0.87,1.97,5.778519666666667,-79.35,-81.98
1730020292976446039,1730020292976101398,5,-2.58,0.87,1.97,5.778519666666667,-78.63,-81.06
1730020293076588790,1730020293076129436,5,-2.58,0.87,1.97,5.797281000000001,-79.51,-80.76
1730020293176553460,1730020293176117420,5,-2.58,0.87,1.97,5.8097883333333336,-79.68,-80.9
1730020293276495929,1730020293276035547,5,-2.58,0.87,1.97,5.841057333333334,-80.23,-82.31
1730020293376633967,1730020293376097202,5,-2.58,0.87,1.97,5.859818999999999,-79.51,-80.94
