%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733053256749609539,1733053256749261140,12,-0.05,0.87,0.5,5.140630666666667,-79.36,-81.07
1733053256849424649,1733053256849180459,12,-0.05,0.87,0.5,5.128123333333334,-79.69,-82.61
1733053256950147093,1733053256949914693,12,-0.05,0.87,0.5,5.134377333333334,-79.64,-82.07
1733053257548126843,1733053257547879695,12,-0.05,0.87,0.5,5.1781543333333335,-79.71,-81.08
1733053257648350285,1733053257647898674,12,-0.05,0.87,0.5,5.159392666666666,-79.6,-82.62
1733053257751159955,1733053257750904321,12,-0.05,0.87,0.5,5.165646333333334,-79.88,-81.39
1733053257850394848,1733053257850154161,12,-0.05,0.87,0.5,5.146884666666666,-79.68,-81.05
1733053257950024504,1733053257949803829,12,-0.05,0.87,0.5,5.153138333333334,-79.73,-82.67
1733053258051169013,1733053258050990819,12,-0.05,0.87,0.5,5.134377,-79.69,-82.0
1733053258148279907,1733053258147879600,12,-0.05,0.87,0.5,5.128123333333334,-79.76,-81.32
1733053258248279624,1733053258247883558,12,-0.05,0.87,0.5,5.134377333333333,-79.26,-80.69
1733053258348345008,1733053258347939014,12,-0.05,0.87,0.5,5.134377333333333,-79.55,-81.49
1733053258448206113,1733053258447910547,12,-0.05,0.87,0.5,5.146884666666667,-79.84,-81.31
1733053258548434494,1733053258547899246,12,-0.05,0.87,0.5,5.146884666666666,-79.32,-80.86
1733053258648576326,1733053258647993803,12,-0.05,0.87,0.5,5.146884666666666,-79.61,-81.91
1733053258748166412,1733053258747902631,12,-0.05,0.87,0.5,5.140631,-79.4,-81.07
1733053258848311044,1733053258847916364,12,-0.05,0.87,0.5,5.134377,-79.72,-82.17
1733053258948367889,1733053258947900056,12,-0.05,0.87,0.5,5.159392333333333,-79.21,-80.89
1733053259048341190,1733053259047922849,12,-0.05,0.87,0.5,5.1719,-79.23,-82.68
1733053259151129977,1733053259150864124,12,-0.05,0.87,0.5,5.1719,-80.09,-83.12
1733053259251049696,1733053259250851154,12,-0.05,0.87,0.5,5.165646,-79.8,-82.06
1733053259350303848,1733053259350074291,12,-0.05,0.87,0.5,5.146884666666668,-79.7,-82.37
1733053259450171182,1733053259449900150,12,-0.05,0.87,0.5,5.146884666666668,-79.56,-81.74
1733053259550275954,1733053259549862146,12,-0.05,0.87,0.5,5.146884666666668,-80.25,-82.43
1733053259650627279,1733053259650230884,12,-0.05,0.87,0.5,5.165646,-79.19,-81.51
1733053259751718895,1733053259751005649,12,-0.05,0.87,0.5,5.165646,-79.32,-81.65
1733053259848217251,1733053259847884893,12,-0.05,0.87,0.5,5.165646,-78.72,-80.97
1733053259948427506,1733053259947882890,12,-0.05,0.87,0.5,5.146884666666668,-79.16,-81.63
1733053260048344264,1733053260047904968,12,-0.05,0.87,0.5,5.165646333333334,-79.19,-81.7
1733053260149589767,1733053260147912502,12,-0.05,0.87,0.5,5.165646333333334,-78.89,-80.85
1733053260248405037,1733053260247913122,12,-0.05,0.87,0.5,5.178153666666667,-79.43,-81.5
1733053260348522552,1733053260347893953,12,-0.05,0.87,0.5,5.165646,-79.12,-81.28
1733053260448594409,1733053260447879076,12,-0.05,0.87,0.5,5.178154,-79.0,-81.36
1733053260551167551,1733053260550961494,12,-0.05,0.87,0.5,5.1906620000000006,-79.16,-81.2
1733053260651289591,1733053260651140213,12,-0.05,0.87,0.5,5.190662,-79.07,-80.84
1733053260751126105,1733053260751048088,12,-0.05,0.87,0.5,5.184408,-79.04,-81.03
1733053260851122639,1733053260850954294,12,-0.05,0.87,0.5,5.1719,-79.51,-81.83
1733053260948255273,1733053260947886705,12,-0.05,0.87,0.5,5.165646,-78.8,-80.87
1733053261048369603,1733053261047911167,12,-0.05,0.87,0.5,5.165646,-79.24,-81.85
1733053261148357046,1733053261147910356,12,-0.05,0.87,0.5,5.196915333333333,-79.2,-80.79
1733053261248916410,1733053261247946739,12,-0.05,0.87,0.5,5.178153999999999,-79.11,-81.08
1733053261348571641,1733053261347933530,12,-0.05,0.87,0.5,5.1844079999999995,-79.41,-81.03
1733053261448623698,1733053261447903394,12,-0.05,0.87,0.5,5.153138666666667,-79.49,-83.1
1733053261548327372,1733053261547887802,12,-0.05,0.87,0.5,5.153138666666667,-79.79,-82.9
1733053261648537656,1733053261647940397,12,-0.05,0.87,0.5,5.140630666666667,-79.59,-81.31
1733053261748262356,1733053261747876882,12,-0.05,0.87,0.5,5.115615666666667,-79.78,-82.31
1733053261848242427,1733053261847896337,12,-0.05,0.87,0.5,5.128123333333334,-79.44,-81.1
1733053261948366540,1733053261947893857,12,-0.05,0.87,0.5,5.115616,-79.62,-80.94
1733053262048686557,1733053262047983884,12,-0.05,0.87,0.5,5.140631,-80.6,-82.4
1733053262148532067,1733053262147932529,12,-0.05,0.87,0.5,5.146884666666668,-79.48,-80.67
1733053262248248879,1733053262247893810,12,-0.05,0.87,0.5,5.159392,-79.13,-81.12
1733053262348189347,1733053262347899436,12,-0.05,0.87,0.5,5.165646,-78.91,-81.48
1733053262448665331,1733053262447919607,12,-0.05,0.87,0.5,5.165646,-79.94,-81.48
1733053262548303724,1733053262547895669,12,-0.05,0.87,0.5,5.165646,-79.39,-81.01
1733053262648288347,1733053262647933483,12,-0.05,0.87,0.5,5.159392,-79.34,-81.34
1733053262850659255,1733053262850448608,12,-0.05,0.87,0.5,5.165646,-79.37,-81.0
1733053262950589348,1733053262950363159,12,-0.05,0.87,0.5,5.165646,-79.14,-81.7
1733053263049987894,1733053263049599409,12,-0.05,0.87,0.5,5.1719,-79.25,-81.93
1733053263149733970,1733053263149454355,12,-0.05,0.87,0.5,5.1719,-79.68,-82.62
1733053263248182551,1733053263247878551,12,-0.05,0.87,0.5,5.165646333333334,-79.16,-81.01
1733053263348285357,1733053263347907304,12,-0.05,0.87,0.5,5.159392333333334,-79.38,-81.79
1733053263451442438,1733053263451338291,12,-0.05,0.87,0.5,5.140631,-79.96,-80.88
1733053263551389644,1733053263551192045,12,-0.05,0.87,0.5,5.140631,-79.47,-81.92
1733053263652211553,1733053263651964902,12,-0.05,0.87,0.5,5.140631,-79.42,-81.32
1733053263751874806,1733053263751768350,12,-0.05,0.87,0.5,5.146884666666666,-79.68,-81.18
1733053263851506764,1733053263851355552,12,-0.05,0.87,0.5,5.153138333333334,-79.5,-81.44
1733053263951817094,1733053263951577425,12,-0.05,0.87,0.5,5.140631,-79.34,-81.29
1733053264051548970,1733053264051388502,12,-0.05,0.87,0.5,5.140631,-79.41,-81.83
1733053264151467817,1733053264151341915,12,-0.05,0.87,0.5,5.128123666666667,-79.37,-81.23
1733053264251679276,1733053264251406192,12,-0.05,0.87,0.5,5.134377333333333,-79.58,-81.23
1733053264352179318,1733053264351712465,12,-0.05,0.87,0.5,5.140631,-79.6,-81.39
1733053264451423666,1733053264451287269,12,-0.05,0.87,0.5,5.153138333333334,-79.41,-81.38
1733053264551648752,1733053264551381826,12,-0.05,0.87,0.5,5.159392,-79.64,-81.31
1733053264654137367,1733053264653904438,12,-0.05,0.87,0.5,5.159392,-79.45,-80.99
1733053264752874899,1733053264752679109,12,-0.05,0.87,0.5,5.159392,-79.6,-81.27
1733053264851618886,1733053264851410627,12,-0.05,0.87,0.5,5.153138333333334,-79.58,-81.76
1733053264951584331,1733053264951339006,12,-0.05,0.87,0.5,5.153138333333334,-79.55,-81.73
1733053265051713721,1733053265051516056,12,-0.05,0.87,0.5,5.165646333333333,-79.3,-80.8
1733053265151556380,1733053265151239871,12,-0.05,0.87,0.5,5.159392666666666,-79.26,-81.04
1733053265251368416,1733053265251037359,12,-0.05,0.87,0.5,5.1531389999999995,-79.54,-81.02
1733053265650453007,1733053265650226116,12,-0.05,0.87,0.5,5.096854333333333,-79.42,-80.97
1733053265750456707,1733053265750327110,12,-0.05,0.87,0.5,5.109362,-79.37,-81.47
1733053265850764195,1733053265850380897,12,-0.05,0.87,0.5,5.115616,-79.31,-80.89
1733053265951239315,1733053265950981855,12,-0.05,0.87,0.5,5.115616,-79.29,-80.58
1733053266050528493,1733053266050293684,12,-0.05,0.87,0.5,5.115616,-79.25,-80.79
1733053266150629369,1733053266150413513,12,-0.05,0.87,0.5,5.115616,-79.59,-80.71
1733053266250867682,1733053266250569105,12,-0.05,0.87,0.5,5.140631,-80.17,-81.14
1733053266350663777,1733053266350562810,12,-0.05,0.87,0.5,5.134377333333334,-79.73,-80.89
1733053266450303093,1733053266450029373,12,-0.05,0.87,0.5,5.140631,-79.23,-80.84
1733053266550758579,1733053266550502061,12,-0.05,0.87,0.5,5.178154,-79.55,-80.46
1733053266650763117,1733053266650551319,12,-0.05,0.87,0.5,5.184407666666666,-79.33,-80.75
1733053266750331077,1733053266750154733,12,-0.05,0.87,0.5,5.184407666666666,-79.41,-81.13
1733053266850256092,1733053266850029706,12,-0.05,0.87,0.5,5.153138666666667,-79.72,-80.94
1733053266950659608,1733053266950468778,12,-0.05,0.87,0.5,5.178154,-79.58,-80.69
1733053267050613344,1733053267050411224,12,-0.05,0.87,0.5,5.203169333333334,-79.11,-81.02
1733053267149573846,1733053267149303913,12,-0.05,0.87,0.5,5.234438333333333,-79.23,-80.9
1733053267249478241,1733053267249109983,12,-0.05,0.87,0.5,5.265707333333334,-79.07,-81.38
1733053267350492468,1733053267350282907,12,-0.05,0.87,0.5,5.265707333333334,-79.38,-81.26
1733053267450229375,1733053267450034618,12,-0.05,0.87,0.5,5.271961,-79.48,-80.91
1733053267550425016,1733053267550231218,12,-0.05,0.87,0.5,5.278215,-78.94,-80.62
1733053267651129165,1733053267650818586,12,-0.05,0.87,0.5,5.296976333333333,-79.28,-81.2
1733053267748456487,1733053267747938871,12,-0.05,0.87,0.5,5.3344993333333335,-79.34,-81.54
1733053267848434379,1733053267847904205,12,-0.05,0.87,0.5,5.3970373333333335,-79.08,-81.02
1733053267948403571,1733053267947895765,12,-0.05,0.87,0.5,5.478337,-78.67,-80.67
1733053268048898087,1733053268048037052,12,-0.05,0.87,0.5,5.497098333333334,-79.0,-81.56
1733053268148308649,1733053268147886276,12,-0.05,0.87,0.5,5.503352,-79.29,-81.19
1733053268248350287,1733053268247883796,12,-0.05,0.87,0.5,5.528366999999999,-78.98,-80.39
1733053268348552920,1733053268347945451,12,-0.05,0.87,0.5,5.5783976666666675,-78.94,-80.49
1733053268448754119,1733053268447948694,12,-0.05,0.87,0.5,5.5783976666666675,-78.96,-80.81
1733053268548421090,1733053268547929286,12,-0.05,0.87,0.5,5.609666666666667,-78.98,-80.49
1733053268648458605,1733053268647952318,12,-0.05,0.87,0.5,5.653443333333333,-79.12,-81.04
1733053268748191211,1733053268747889995,12,-0.05,0.87,0.5,5.734743000000001,-79.33,-80.52
1733053268848280191,1733053268847887754,12,-0.05,0.87,0.5,5.740997,-79.17,-80.69
1733053268948568661,1733053268947906970,12,-0.05,0.87,0.5,5.759758333333333,-78.81,-80.63
1733053269048340951,1733053269047917842,12,-0.05,0.87,0.5,5.878580333333333,-79.2,-80.59
1733053269148398776,1733053269147907018,12,-0.05,0.87,0.5,5.947372333333333,-79.05,-80.46
1733053269248189209,1733053269247886896,12,-0.05,0.87,0.5,6.016164333333333,-78.88,-80.45
1733053269348635651,1733053269347894191,12,-0.05,0.87,0.5,6.059940999999999,-79.04,-80.66
1733053269448600319,1733053269447908163,12,-0.05,0.87,0.5,6.109971333333334,-79.31,-81.09
1733053269548314550,1733053269547905445,12,-0.05,0.87,0.5,6.147494333333333,-79.34,-80.48
1733053269648165711,1733053269647887945,12,-0.05,0.87,0.5,6.216286333333333,-79.37,-80.44
1733053269748457877,1733053269747895240,12,-0.05,0.87,0.5,6.285078333333334,-79.93,-80.71
1733053269848136865,1733053269847889661,12,-0.05,0.87,0.5,6.372631666666667,-79.97,-80.94
1733053269948559213,1733053269947900772,12,-0.05,0.87,0.5,6.435169666666667,-79.39,-80.56
1733053270048859500,1733053270047896146,12,-0.05,0.87,0.5,6.510215333333334,-79.36,-80.48
1733053270148312633,1733053270147928476,12,-0.05,0.87,0.5,6.585261,-79.06,-80.51
1733053270248224933,1733053270247911453,12,-0.05,0.87,0.5,6.660307,-79.3,-80.8
1733053270351369073,1733053270351178407,12,-0.05,0.87,0.5,6.7228449999999995,-79.44,-80.61
1733053270451862078,1733053270451720714,12,-0.05,0.87,0.5,6.810398333333333,-78.7,-80.63
1733053270551553619,1733053270551339626,12,-0.05,0.87,0.5,6.87919,-79.01,-80.5
1733053270651052406,1733053270650929450,12,-0.05,0.87,0.5,6.960489666666668,-78.9,-80.77
1733053270751372966,1733053270751190185,12,-0.05,0.87,0.5,7.035535333333333,-78.76,-80.4
1733053270851116132,1733053270850931406,12,-0.05,0.87,0.5,7.123088666666667,-78.98,-80.72
1733053271048521980,1733053271047948122,12,-0.05,0.87,0.5,7.241910999999999,-79.02,-80.65
1733053271148293177,1733053271147896528,12,-0.05,0.87,0.5,7.335718,-79.0,-80.61
1733053271248350672,1733053271247881174,12,-0.05,0.87,0.5,7.423271333333333,-79.1,-80.58
1733053271348389261,1733053271347919702,12,-0.05,0.87,0.5,7.492063333333333,-79.05,-80.6
1733053271448532388,1733053271447946310,12,-0.05,0.87,0.5,7.5733630000000005,-79.05,-80.75
