%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1733053256724930170,49173,1733053256724378347,map,0.12034332815831054,-4.201972432903082,1.1346057016866071,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053256824784332,49174,1733053256824366092,map,0.12885746053693173,-4.203709171351421,1.1191678955708255,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053256924683281,49175,1733053256924189090,map,0.12377381652698875,-4.200787379696042,1.1370946083652476,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257025229150,49176,1733053257024758338,map,0.12481109144250975,-4.205583480811823,1.1556398714879803,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257124737642,49177,1733053257124266862,map,0.11672431530045836,-4.20823077856647,1.1837724823546487,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257225004451,49178,1733053257224580526,map,0.11912500862566781,-4.208605838820254,1.2030368946462293,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257324821997,49179,1733053257324585914,map,0.10231752027901554,-4.199551186880409,1.2180855621564728,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257425363442,49180,1733053257424748659,map,0.08169518279079789,-4.193756924953285,1.2172832706047279,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257525454062,49181,1733053257524865627,map,0.036351140857431186,-4.17155251729508,1.1625418446970708,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0
1733053257624996450,49182,1733053257624560356,map,0.07896562583805322,-4.193245696566746,1.249735181902865,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
1733053257725056186,49183,1733053257724708318,map,0.07724864702016203,-4.192720617877704,1.2751387854909806,0.0,0.0,0.0,1.0,0,9.0,3.0,5.0,12.0
