%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730017526478221878,1730017526478048324,3,2.58,-0.87,1.97,4.5277579999999995,-80.25,-81.48
1730017526578605000,1730017526578253746,3,2.58,-0.87,1.97,4.5715346666666665,-81.76,-83.11
1730017526678753241,1730017526678494215,3,2.58,-0.87,1.97,4.490234999999999,-80.44,-81.89
1730017526877623821,1730017526877305507,3,2.58,-0.87,1.97,4.471473333333333,-80.8,-81.92
1730017526977592508,1730017526977310419,3,2.58,-0.87,1.97,4.465219666666667,-81.34,-82.6
1730017527077687351,1730017527077402591,3,2.58,-0.87,1.97,4.452712,-79.92,-81.9
1730017527177633509,1730017527177347898,3,2.58,-0.87,1.97,4.433950666666667,-80.99,-83.22
1730017527277345552,1730017527277215957,3,2.58,-0.87,1.97,4.440204333333333,-81.07,-83.88
1730017527377946745,1730017527377638101,3,2.58,-0.87,1.97,4.440204333333333,-81.42,-84.76
1730017527478266957,1730017527477753400,3,2.58,-0.87,1.97,4.458965666666667,-80.65,-83.9
1730017527577896760,1730017527577803611,3,2.58,-0.87,1.97,4.440204333333333,-79.68,-80.65
1730017527677652026,1730017527677241802,3,2.58,-0.87,1.97,4.402681666666667,-79.88,-80.81
1730017527777572459,1730017527777409315,3,2.58,-0.87,1.97,4.383920333333333,-80.65,-83.92
1730017527877647000,1730017527877245664,3,2.58,-0.87,1.97,4.458966,-82.29,-84.54
1730017527977551305,1730017527977350473,3,2.58,-0.87,1.97,4.452712,-80.35,-94.4
1730017528077875165,1730017528077546834,3,2.58,-0.87,1.97,4.421443,-80.35,-86.99
1730017528177449616,1730017528177188873,3,2.58,-0.87,1.97,4.358905,-80.26,-87.52
1730017528276656912,1730017528276085615,3,2.58,-0.87,1.97,4.383920333333333,-79.39,-86.61
1730017528376401902,1730017528376048564,3,2.58,-0.87,1.97,4.402681666666667,-80.06,-83.43
1730017528476353988,1730017528476055145,3,2.58,-0.87,1.97,4.365158666666667,-79.68,-84.51
1730017528576244693,1730017528576066493,3,2.58,-0.87,1.97,4.365158666666667,-79.69,-83.58
1730017528676440798,1730017528676062107,3,2.58,-0.87,1.97,4.365158666666667,-79.53,-81.8
1730017528776776354,1730017528776082277,3,2.58,-0.87,1.97,4.371412666666667,-79.07,-80.72
1730017528876729062,1730017528876083612,3,2.58,-0.87,1.97,4.358905,-78.94,-80.51
1730017528977431621,1730017528977182865,3,2.58,-0.87,1.97,4.340143666666667,-79.0,-82.85
1730017529376510355,1730017529376224517,3,2.58,-0.87,1.97,4.308874666666667,-78.82,-80.87
1730017529476516602,1730017529476069688,3,2.58,-0.87,1.97,4.327636,-79.16,-80.96
1730017529577646853,1730017529577380418,3,2.58,-0.87,1.97,4.340143666666667,-78.86,-81.07
1730017530076399936,1730017530076047897,3,2.58,-0.87,1.97,4.440204666666666,-79.94,-81.01
1730017530176961535,1730017530176106929,3,2.58,-0.87,1.97,4.534012000000001,-80.42,-82.75
1730017530276596815,1730017530276048660,3,2.58,-0.87,1.97,4.552773333333334,-79.66,-80.81
1730017530379742701,1730017530379504203,3,2.58,-0.87,1.97,4.577788333333333,-82.25,-84.28
1730017530479640917,1730017530479433298,3,2.58,-0.87,1.97,4.521504,-79.65,-81.59
1730017530579774970,1730017530579514741,3,2.58,-0.87,1.97,4.515250333333333,-79.35,-80.59
1730017530676508981,1730017530676085710,3,2.58,-0.87,1.97,4.390174333333333,-80.1,-80.65
1730017530777676267,1730017530777498483,3,2.58,-0.87,1.97,4.365159,-79.64,-80.76
1730017530978701362,1730017530978415966,3,2.58,-0.87,1.97,4.358905,-79.98,-81.07
1730017531078260147,1730017531078065872,3,2.58,-0.87,1.97,4.365158666666667,-80.61,-81.26
1730017531178222710,1730017531178080081,3,2.58,-0.87,1.97,4.383920333333333,-80.7,-80.82
1730017531279770398,1730017531279680967,3,2.58,-0.87,1.97,4.396427999999999,-80.46,-81.39
1730017531379744393,1730017531379522562,3,2.58,-0.87,1.97,4.421443333333333,-79.99,-80.96
1730017531479069659,1730017531478824377,3,2.58,-0.87,1.97,4.421443333333333,-80.45,-81.57
1730017531578222377,1730017531578051090,3,2.58,-0.87,1.97,4.408935666666666,-80.45,-81.95
1730017531677573392,1730017531677243709,3,2.58,-0.87,1.97,4.415189333333333,-79.72,-80.86
1730017531778010086,1730017531777733325,3,2.58,-0.87,1.97,4.415189333333333,-79.88,-81.4
1730017531878045918,1730017531877857446,3,2.58,-0.87,1.97,4.408935666666667,-80.36,-81.0
1730017531977537048,1730017531977345466,3,2.58,-0.87,1.97,4.390174333333333,-80.13,-80.51
1730017532077779222,1730017532077582836,3,2.58,-0.87,1.97,4.377666666666667,-80.35,-81.55
1730017532177743870,1730017532177326440,3,2.58,-0.87,1.97,4.377666666666667,-80.05,-81.14
1730017532277959105,1730017532277739048,3,2.58,-0.87,1.97,4.3839206666666675,-80.36,-80.86
1730017532377701835,1730017532377284049,3,2.58,-0.87,1.97,4.402682,-79.83,-81.07
1730017532477646380,1730017532477387428,3,2.58,-0.87,1.97,4.408935666666666,-79.79,-81.27
1730017532577477348,1730017532577226400,3,2.58,-0.87,1.97,4.415189333333333,-81.75,-81.74
1730017532678209237,1730017532678045749,3,2.58,-0.87,1.97,4.396428,-80.16,-80.83
1730017532778530739,1730017532778294563,3,2.58,-0.87,1.97,4.396428,-81.33,-82.19
1730017532878518213,1730017532878269910,3,2.58,-0.87,1.97,4.371412666666667,-80.28,-81.26
1730017532978720214,1730017532978460788,3,2.58,-0.87,1.97,4.383920333333333,-80.01,-80.9
1730017533078463797,1730017533078211069,3,2.58,-0.87,1.97,4.390174333333333,-80.22,-80.84
1730017533178925327,1730017533178602933,3,2.58,-0.87,1.97,4.415189666666667,-79.82,-82.72
1730017533278832442,1730017533278537750,3,2.58,-0.87,1.97,4.4339509999999995,-80.35,-80.98
1730017533378258281,1730017533378050804,3,2.58,-0.87,1.97,4.440204666666667,-80.9,-81.74
1730017533478519592,1730017533478307485,3,2.58,-0.87,1.97,4.446458333333333,-81.54,-82.52
1730017533578458639,1730017533578271627,3,2.58,-0.87,1.97,4.440204333333333,-81.54,-81.21
1730017533678514180,1730017533678321838,3,2.58,-0.87,1.97,4.440204333333333,-79.98,-81.41
1730017533778852958,1730017533778652191,3,2.58,-0.87,1.97,4.427696999999999,-80.82,-81.03
1730017533878187113,1730017533877980947,3,2.58,-0.87,1.97,4.4339509999999995,-80.66,-81.11
1730017533978667559,1730017533978413105,3,2.58,-0.87,1.97,4.427697333333334,-80.54,-81.15
1730017534079026740,1730017534078659772,3,2.58,-0.87,1.97,4.452712333333333,-81.26,-82.66
1730017534178931759,1730017534178512096,3,2.58,-0.87,1.97,4.4652199999999995,-81.23,-82.4
1730017534278448357,1730017534278274536,3,2.58,-0.87,1.97,4.508996666666666,-81.44,-84.45
1730017534378749134,1730017534378490209,3,2.58,-0.87,1.97,4.521504333333334,-83.57,-86.25
1730017534478933838,1730017534478689432,3,2.58,-0.87,1.97,4.5089966666666665,-80.7,-80.97
1730017534679447246,1730017534679194688,3,2.58,-0.87,1.97,4.452712333333333,-80.76,-82.26
1730017535078317421,1730017535077716588,3,2.58,-0.87,1.97,4.340143666666667,-81.59,-85.81
1730017535177865604,1730017535177423000,3,2.58,-0.87,1.97,4.271351666666667,-81.33,-82.13
1730017535878998419,1730017535878730773,3,2.58,-0.87,1.97,3.9086309999999997,-79.22,-80.77
1730017535978575775,1730017535978058576,3,2.58,-0.87,1.97,3.864854333333333,-78.95,-81.09
1730017536079406076,1730017536079125404,3,2.58,-0.87,1.97,3.839839,-78.38,-80.4
1730017536180177576,1730017536179800987,3,2.58,-0.87,1.97,3.808569666666667,-79.14,-80.88
1730017536279739670,1730017536278731107,3,2.58,-0.87,1.97,3.8085696666666666,-78.52,-80.44
1730017536378704254,1730017536378462791,3,2.58,-0.87,1.97,3.7898083333333332,-79.72,-81.18
1730017536478815521,1730017536478590488,3,2.58,-0.87,1.97,3.7960623333333334,-78.82,-80.68
1730017536578765251,1730017536578499078,3,2.58,-0.87,1.97,3.80857,-78.82,-81.92
1730017536679263878,1730017536678966522,3,2.58,-0.87,1.97,3.7960623333333334,-78.29,-80.97
1730017536779440991,1730017536779189109,3,2.58,-0.87,1.97,3.7647933333333334,-78.89,-81.46
1730017536878764372,1730017536878625392,3,2.58,-0.87,1.97,3.6897473333333335,-78.28,-80.62
1730017536978646889,1730017536978372573,3,2.58,-0.87,1.97,3.6334630000000003,-78.32,-80.48
1730017537078629889,1730017537078461408,3,2.58,-0.87,1.97,3.583432333333333,-78.65,-80.81
1730017537178414081,1730017537178258180,3,2.58,-0.87,1.97,3.5584173333333333,-79.19,-80.78
1730017537278659476,1730017537278367757,3,2.58,-0.87,1.97,3.5396559999999995,-79.12,-80.64
1730017537378575525,1730017537378308057,3,2.58,-0.87,1.97,3.5083870000000004,-79.61,-80.9
1730017537478849888,1730017537478643655,3,2.58,-0.87,1.97,3.489625333333333,-78.95,-80.94
1730017537578379635,1730017537578080654,3,2.58,-0.87,1.97,3.477117666666667,-79.01,-80.97
1730017537678924933,1730017537678747892,3,2.58,-0.87,1.97,3.477117666666667,-78.43,-80.89
1730017537778823890,1730017537778657674,3,2.58,-0.87,1.97,3.458356333333333,-78.23,-80.83
1730017537878509954,1730017537878196716,3,2.58,-0.87,1.97,3.4458486666666666,-78.42,-80.5
1730017537978713851,1730017537978455543,3,2.58,-0.87,1.97,3.4083256666666664,-79.26,-81.14
1730017538078574772,1730017538078127145,3,2.58,-0.87,1.97,3.389564333333334,-79.2,-80.82
1730017538178585227,1730017538178365230,3,2.58,-0.87,1.97,3.3833106666666666,-78.53,-80.64
1730017538276412499,1730017538276060581,3,2.58,-0.87,1.97,3.364549333333333,-79.22,-80.48
1730017538376445303,1730017538376098632,3,2.58,-0.87,1.97,3.339534,-79.61,-80.9
1730017538476432648,1730017538476066827,3,2.58,-0.87,1.97,3.3207723333333328,-79.32,-80.71
1730017538576261008,1730017538576065778,3,2.58,-0.87,1.97,3.3207723333333337,-79.46,-80.95
1730017538676422193,1730017538676058292,3,2.58,-0.87,1.97,3.3207723333333337,-78.82,-80.62
1730017538776730214,1730017538776105642,3,2.58,-0.87,1.97,3.308265,-79.03,-80.63
1730017538876594617,1730017538876074314,3,2.58,-0.87,1.97,3.339534,-78.95,-80.76
1730017538978976461,1730017538978832960,3,2.58,-0.87,1.97,3.3770569999999993,-78.82,-80.87
1730017539078824163,1730017539078622102,3,2.58,-0.87,1.97,3.427087333333333,-79.07,-80.88
1730017539178853363,1730017539178604602,3,2.58,-0.87,1.97,3.4521026666666668,-79.08,-81.05
1730017539279518809,1730017539279301404,3,2.58,-0.87,1.97,3.477117666666667,-79.19,-80.56
1730017539378942382,1730017539378728866,3,2.58,-0.87,1.97,3.5021330000000006,-79.21,-80.68
1730017539479171868,1730017539478953838,3,2.58,-0.87,1.97,3.5459096666666667,-79.37,-80.74
1730017539578895185,1730017539578720092,3,2.58,-0.87,1.97,3.564671333333333,-79.01,-80.57
1730017539678800440,1730017539678720951,3,2.58,-0.87,1.97,3.5896863333333333,-79.18,-80.74
1730017539779124294,1730017539778870344,3,2.58,-0.87,1.97,3.6021939999999995,-78.29,-80.57
1730017539879231615,1730017539879017353,3,2.58,-0.87,1.97,3.6459706666666665,-78.91,-80.85
