%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733037964616958066,1733037964616423368,5,-0.36,-0.46,1.97,3.852346666666667,-79.1,-80.69
1733037964716523122,1733037964716312646,5,-0.36,-0.46,1.97,3.852346666666667,-79.03,-80.53
1733037964816761200,1733037964816354036,5,-0.36,-0.46,1.97,3.8586003333333334,-79.37,-80.61
1733037964916788814,1733037964916459798,5,-0.36,-0.46,1.97,3.8586003333333334,-78.91,-81.11
1733037965016712669,1733037965016423940,5,-0.36,-0.46,1.97,3.8711079999999995,-79.18,-80.76
1733037965116757966,1733037965116485118,5,-0.36,-0.46,1.97,3.883615666666666,-78.97,-80.53
1733037965216806008,1733037965216572523,5,-0.36,-0.46,1.97,3.896123333333333,-79.08,-80.64
1733037965317345510,1733037965317051649,5,-0.36,-0.46,1.97,3.8898693333333334,-78.95,-81.01
1733037965416694582,1733037965416360855,5,-0.36,-0.46,1.97,3.8898693333333334,-79.16,-80.61
1733037965516568818,1733037965516351222,5,-0.36,-0.46,1.97,3.883615666666666,-79.03,-80.83
1733037965616480760,1733037965616311311,5,-0.36,-0.46,1.97,3.8773619999999998,-79.2,-80.56
1733037965716626724,1733037965716380834,5,-0.36,-0.46,1.97,3.8711083333333334,-79.05,-80.69
1733037965816465179,1733037965816351652,5,-0.36,-0.46,1.97,3.8711083333333334,-78.93,-80.84
1733037965916629466,1733037965916341781,5,-0.36,-0.46,1.97,3.8711083333333334,-79.15,-80.52
1733037966016570365,1733037966016305208,5,-0.36,-0.46,1.97,3.864854333333333,-78.75,-80.49
1733037966116685595,1733037966116423368,5,-0.36,-0.46,1.97,3.8648543333333336,-79.23,-80.61
1733037966218182323,1733037966218102931,5,-0.36,-0.46,1.97,3.8711079999999995,-79.16,-80.68
1733037966318561878,1733037966318413257,5,-0.36,-0.46,1.97,3.8773619999999998,-79.13,-80.55
1733037966418643868,1733037966418501138,5,-0.36,-0.46,1.97,3.852346666666666,-79.14,-80.89
1733037966517780836,1733037966517627239,5,-0.36,-0.46,1.97,3.839839,-79.12,-81.09
1733037966618233923,1733037966618086099,5,-0.36,-0.46,1.97,3.839839,-79.24,-80.94
1733037966717929946,1733037966717786788,5,-0.36,-0.46,1.97,3.8586003333333334,-79.07,-80.6
1733037966816709125,1733037966816395998,5,-0.36,-0.46,1.97,3.858600333333333,-79.34,-80.8
1733037966916598155,1733037966916317224,5,-0.36,-0.46,1.97,3.8398386666666666,-78.98,-80.7
1733037967049267099,1733037967049016237,5,-0.36,-0.46,1.97,3.833585,-79.98,-81.35
1733037967116778484,1733037967116446495,5,-0.36,-0.46,1.97,3.839839,-79.1,-80.44
1733037967216769277,1733037967216542005,5,-0.36,-0.46,1.97,3.852346666666667,-79.5,-80.76
1733037967316529339,1733037967316378831,5,-0.36,-0.46,1.97,3.852346666666667,-79.07,-80.64
1733037967416600907,1733037967416348457,5,-0.36,-0.46,1.97,3.8586003333333334,-79.37,-80.79
1733037967516629057,1733037967516343116,5,-0.36,-0.46,1.97,3.8586003333333334,-78.97,-80.56
1733037967617345563,1733037967617130994,5,-0.36,-0.46,1.97,3.864854,-79.67,-81.3
1733037967717591733,1733037967717329263,5,-0.36,-0.46,1.97,3.8898693333333334,-78.9,-80.54
1733037968217463689,1733037968217387437,5,-0.36,-0.46,1.97,3.896123333333333,-79.11,-80.56
1733037968318662096,1733037968318456888,5,-0.36,-0.46,1.97,3.8898693333333334,-78.89,-80.59
1733037968417894893,1733037968417803764,5,-0.36,-0.46,1.97,3.896123,-78.84,-80.48
1733037968517811823,1733037968517582416,5,-0.36,-0.46,1.97,3.896123,-79.49,-81.27
1733037968617451057,1733037968617193460,5,-0.36,-0.46,1.97,3.8898693333333334,-78.93,-80.89
1733037968718022225,1733037968717864036,5,-0.36,-0.46,1.97,3.877362,-79.42,-81.28
1733037968815575212,1733037968815219640,5,-0.36,-0.46,1.97,3.864854333333333,-79.16,-80.51
1733037968918775447,1733037968918605327,5,-0.36,-0.46,1.97,3.864854333333333,-79.61,-81.19
1733037969018159694,1733037969017895221,5,-0.36,-0.46,1.97,3.852346666666667,-79.21,-81.12
1733037969117995543,1733037969117880105,5,-0.36,-0.46,1.97,3.8586006666666663,-79.42,-80.74
1733037969217982081,1733037969217817068,5,-0.36,-0.46,1.97,3.864854333333333,-79.36,-81.07
1733037969318006527,1733037969317808151,5,-0.36,-0.46,1.97,3.858600333333333,-79.45,-80.96
1733037969418079328,1733037969417855739,5,-0.36,-0.46,1.97,3.846092666666667,-79.23,-81.0
1733037969518327932,1733037969518125057,5,-0.36,-0.46,1.97,3.839839,-78.97,-80.47
1733037969618180487,1733037969617995977,5,-0.36,-0.46,1.97,3.846093,-79.35,-81.55
1733037969717779088,1733037969717546224,5,-0.36,-0.46,1.97,3.852346666666667,-79.62,-81.48
1733037969817484246,1733037969817228078,5,-0.36,-0.46,1.97,3.846092666666667,-79.03,-80.7
1733037969917788153,1733037969917621612,5,-0.36,-0.46,1.97,3.8586003333333334,-79.29,-80.53
1733037970016921463,1733037970016610860,5,-0.36,-0.46,1.97,3.852346666666667,-79.27,-81.23
1733037970116934541,1733037970116728544,5,-0.36,-0.46,1.97,3.852346666666667,-78.96,-80.78
1733037970217063515,1733037970216754674,5,-0.36,-0.46,1.97,3.839839,-79.34,-80.99
1733037970316832968,1733037970316538810,5,-0.36,-0.46,1.97,3.8586003333333334,-79.34,-81.02
1733037970417303565,1733037970416780471,5,-0.36,-0.46,1.97,3.8648543333333336,-79.04,-80.86
1733037970516902976,1733037970516678333,5,-0.36,-0.46,1.97,3.871108,-79.06,-80.5
1733037970617050970,1733037970616590738,5,-0.36,-0.46,1.97,3.852346666666667,-79.03,-80.48
1733037970716683578,1733037970716437578,5,-0.36,-0.46,1.97,3.852346666666667,-79.18,-81.3
1733037970817041034,1733037970816925287,5,-0.36,-0.46,1.97,3.846093,-79.07,-80.69
1733037970916854342,1733037970916537046,5,-0.36,-0.46,1.97,3.846093,-79.14,-80.76
1733037971017806425,1733037971017093181,5,-0.36,-0.46,1.97,3.839839,-79.29,-80.84
