%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733053256750387960,1733053256750070333,9,0.71,-0.87,0.61,3.395818333333333,-79.16,-80.95
1733053256850222968,1733053256849977970,9,0.71,-0.87,0.61,3.408326,-78.87,-80.59
1733053256950710628,1733053256950577497,9,0.71,-0.87,0.61,3.4458490000000004,-78.74,-80.39
1733053257049331136,1733053257049077749,9,0.71,-0.87,0.61,3.439595,-78.86,-80.66
1733053257148403514,1733053257147951364,9,0.71,-0.87,0.61,3.427087333333333,-79.44,-81.04
1733053257248375257,1733053257247914791,9,0.71,-0.87,0.61,3.4145796666666666,-79.11,-80.84
1733053257348075074,1733053257347907543,9,0.71,-0.87,0.61,3.4145796666666666,-78.82,-80.59
1733053257448299346,1733053257447913885,9,0.71,-0.87,0.61,3.4145796666666666,-78.56,-80.36
1733053257549342754,1733053257549236536,9,0.71,-0.87,0.61,3.4208336666666668,-79.2,-81.06
1733053257649535267,1733053257649199724,9,0.71,-0.87,0.61,3.408326,-78.81,-80.6
1733053257748378578,1733053257747901439,9,0.71,-0.87,0.61,3.408326,-78.97,-80.51
1733053257848058079,1733053257847892284,9,0.71,-0.87,0.61,3.402072,-78.98,-80.58
1733053257950807130,1733053257950521230,9,0.71,-0.87,0.61,3.439595,-79.1,-80.9
1733053258050345684,1733053258050232648,9,0.71,-0.87,0.61,3.439595,-78.78,-80.56
1733053258150218388,1733053258150068283,9,0.71,-0.87,0.61,3.427087333333333,-78.76,-80.45
1733053258250124052,1733053258249849081,9,0.71,-0.87,0.61,3.408326,-78.64,-80.53
1733053258350285477,1733053258350046396,9,0.71,-0.87,0.61,3.395818333333333,-79.03,-81.08
1733053258450161687,1733053258449954032,9,0.71,-0.87,0.61,3.408326,-79.11,-80.77
1733053258550002115,1733053258549864053,9,0.71,-0.87,0.61,3.4208336666666668,-79.2,-80.73
1733053258650522452,1733053258650382280,9,0.71,-0.87,0.61,3.4333413333333334,-78.8,-80.5
1733053258750310559,1733053258750097751,9,0.71,-0.87,0.61,3.4145800000000004,-78.78,-80.64
1733053258850276664,1733053258850024223,9,0.71,-0.87,0.61,3.395818333333333,-78.85,-80.56
1733053258950160249,1733053258949881315,9,0.71,-0.87,0.61,3.4145796666666666,-78.99,-80.76
1733053259050708123,1733053259050464153,9,0.71,-0.87,0.61,3.427087333333333,-78.98,-80.67
1733053259149581608,1733053259149316549,9,0.71,-0.87,0.61,3.458356333333333,-78.95,-81.0
1733053259249342413,1733053259249101638,9,0.71,-0.87,0.61,3.439595,-78.92,-80.8
