%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1730017526526524579,5467,1730017526526068449,map,-0.19168968957810353,-4.31409826491054,1.0731777074439097,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017526626151107,5468,1730017526625770330,map,-0.21112120960047354,-4.318717119913012,1.066537352794282,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017526727426255,5469,1730017526726862192,map,-0.2109652582192715,-4.316391683842819,1.0675915596171222,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017526826268595,5470,1730017526825759410,map,-0.21557439080198595,-4.314119500436469,1.0707527018288683,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017526926752005,5471,1730017526926253557,map,-0.20033891514940422,-4.304152071987548,1.075576241645106,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017527026272871,5472,1730017527025861740,map,-0.168483198539428,-4.291210854580014,1.1013049980984424,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017527126835067,5473,1730017527126453161,map,-0.1554716481865081,-4.290401259292482,1.1191979680352835,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017527227346058,5474,1730017527226703882,map,-0.1397464648725964,-4.2894958831727035,1.1331741941914275,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017527326277816,5475,1730017527325890541,map,-0.13015014928356836,-4.296157391059126,1.1761258541035124,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017527425876093,5476,1730017527425405979,map,-0.12141424099758602,-4.299908325658279,1.1883003792848832,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
1730017527526812516,5477,1730017527526197433,map,-0.12906941674656677,-4.306478566893933,1.1946642784333397,0.0,0.0,0.0,1.0,0,3.0,5.0,9.0,12.0
