%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1734501485315630136,1734501485315057992,9,2.5775,-0.87,0.5,6.141240333333333,-79.46,-81.03
1734501485415576302,1734501485415020942,9,2.5775,-0.87,0.5,6.153748,-79.49,-80.87
1734501485515405066,1734501485515025138,9,2.5775,-0.87,0.5,6.153748,-79.29,-80.73
1734501485615648054,1734501485615081787,9,2.5775,-0.87,0.5,6.147494333333333,-79.1,-80.74
1734501485715519677,1734501485715003728,9,2.5775,-0.87,0.5,6.153748333333333,-79.25,-81.36
1734501485815437560,1734501485815009117,9,2.5775,-0.87,0.5,6.153748333333333,-79.0,-80.67
1734501485915536189,1734501485915032625,9,2.5775,-0.87,0.5,6.1600019999999995,-79.28,-80.76
1734501486015772283,1734501486015012502,9,2.5775,-0.87,0.5,6.166255666666667,-79.27,-80.68
1734501486115480831,1734501486114996910,9,2.5775,-0.87,0.5,6.166255666666667,-79.66,-80.98
1734501486215440785,1734501486215017318,9,2.5775,-0.87,0.5,6.172509666666667,-79.57,-80.64
1734501486315601093,1734501486315005779,9,2.5775,-0.87,0.5,6.1600019999999995,-79.33,-80.92
1734501486415845968,1734501486415121555,9,2.5775,-0.87,0.5,6.147494333333333,-79.24,-80.53
1734501486515432780,1734501486514996767,9,2.5775,-0.87,0.5,6.153748333333333,-79.31,-80.61
1734501486615228555,1734501486615021705,9,2.5775,-0.87,0.5,6.134987,-79.8,-80.92
1734501486715684437,1734501486715070247,9,2.5775,-0.87,0.5,6.134987,-79.39,-80.8
1734501486815530781,1734501486815029144,9,2.5775,-0.87,0.5,6.116225333333333,-79.33,-80.92
1734501486915293653,1734501486915008068,9,2.5775,-0.87,0.5,6.147494333333333,-79.27,-80.58
1734501487015300197,1734501487015005350,9,2.5775,-0.87,0.5,6.166255666666667,-79.64,-80.82
1734501487115407454,1734501487115010499,9,2.5775,-0.87,0.5,6.172509666666667,-79.31,-80.92
1734501487215418607,1734501487215032815,9,2.5775,-0.87,0.5,6.1600019999999995,-79.26,-81.07
1734501487316680877,1734501487316399097,9,2.5775,-0.87,0.5,6.141240666666666,-79.09,-80.9
1734501487416534360,1734501487416192054,9,2.5775,-0.87,0.5,6.153748333333333,-79.25,-80.95
1734501487515556566,1734501487515015363,9,2.5775,-0.87,0.5,6.153748333333333,-79.04,-80.64
1734501487615412357,1734501487615009546,9,2.5775,-0.87,0.5,6.1600019999999995,-79.72,-80.79
1734501487715431614,1734501487715024232,9,2.5775,-0.87,0.5,6.172509333333333,-79.56,-80.58
1734501487816636447,1734501487816089868,9,2.5775,-0.87,0.5,6.172509333333333,-78.94,-80.58
1734501487915336267,1734501487915027141,9,2.5775,-0.87,0.5,6.185016999999999,-79.13,-80.94
1734501488016240170,1734501488016077995,9,2.5775,-0.87,0.5,6.172509666666667,-79.37,-80.77
1734501488116302984,1734501488116162538,9,2.5775,-0.87,0.5,6.153748333333333,-78.96,-80.87
1734501488217058351,1734501488216917991,9,2.5775,-0.87,0.5,6.153748333333334,-79.23,-81.1
1734501488315443002,1734501488315062046,9,2.5775,-0.87,0.5,6.134986666666667,-79.59,-80.7
1734501488415520636,1734501488415070533,9,2.5775,-0.87,0.5,6.153748,-79.21,-80.66
1734501488515439221,1734501488515010118,9,2.5775,-0.87,0.5,6.141240333333333,-79.29,-80.68
1734501488618672524,1734501488618473291,9,2.5775,-0.87,0.5,6.134986666666667,-79.32,-81.08
1734501488717821607,1734501488717539548,9,2.5775,-0.87,0.5,6.134986666666667,-79.77,-80.66
1734501488817376913,1734501488817168474,9,2.5775,-0.87,0.5,6.109971333333334,-79.44,-81.07
1734501488916998441,1734501488916130304,9,2.5775,-0.87,0.5,6.122478999999999,-79.43,-80.82
1734501489015337954,1734501489015042543,9,2.5775,-0.87,0.5,6.122478999999999,-79.44,-80.98
1734501489115398219,1734501489115069150,9,2.5775,-0.87,0.5,6.153748333333333,-79.49,-80.81
1734501489215413307,1734501489215027570,9,2.5775,-0.87,0.5,6.172509666666667,-79.19,-81.08
1734501489316964757,1734501489315069437,9,2.5775,-0.87,0.5,6.153748333333333,-79.39,-80.66
1734501489415450981,1734501489415048360,9,2.5775,-0.87,0.5,6.153748333333334,-79.59,-80.92
1734501489515502040,1734501489515048742,9,2.5775,-0.87,0.5,6.1412406666666675,-79.09,-80.64
1734501489615492907,1734501489615045785,9,2.5775,-0.87,0.5,6.166256,-79.78,-81.17
1734501489715433277,1734501489714942932,9,2.5775,-0.87,0.5,6.1600019999999995,-79.24,-80.7
1734501489815435048,1734501489815077543,9,2.5775,-0.87,0.5,6.134986666666666,-79.11,-80.78
1734501489915322356,1734501489915040016,9,2.5775,-0.87,0.5,6.134986666666666,-79.16,-80.87
1734501490018314836,1734501490018091440,9,2.5775,-0.87,0.5,6.134986666666666,-79.13,-80.67
1734501490118521618,1734501490118261575,9,2.5775,-0.87,0.5,6.153748333333333,-79.57,-81.04
1734501490221817247,1734501490221534490,9,2.5775,-0.87,0.5,6.153748333333333,-79.49,-80.62
1734501490318886162,1734501490318716764,9,2.5775,-0.87,0.5,6.160002333333334,-79.39,-80.8
1734501490418125103,1734501490417976140,9,2.5775,-0.87,0.5,6.166256,-79.39,-80.75
1734501490518095038,1734501490517817974,9,2.5775,-0.87,0.5,6.153748333333333,-79.48,-80.73
1734501490617968380,1734501490617890834,9,2.5775,-0.87,0.5,6.153748333333333,-79.5,-81.04
1734501490718081455,1734501490717946529,9,2.5775,-0.87,0.5,6.153748333333333,-79.24,-80.77
1734501490818379913,1734501490818067789,9,2.5775,-0.87,0.5,6.1600019999999995,-79.49,-80.72
1734501490917301373,1734501490917172908,9,2.5775,-0.87,0.5,6.166255666666667,-79.43,-81.1
1734501491017975709,1734501491017774581,9,2.5775,-0.87,0.5,6.134986666666667,-79.23,-80.73
1734501491121228104,1734501491120760917,9,2.5775,-0.87,0.5,6.134986666666667,-79.44,-80.49
1734501491218254045,1734501491218114852,9,2.5775,-0.87,0.5,6.128733,-79.26,-80.55
1734501491318166334,1734501491317912101,9,2.5775,-0.87,0.5,6.153748333333333,-79.17,-80.83
1734501491418500476,1734501491418302536,9,2.5775,-0.87,0.5,6.147494666666667,-79.1,-80.6
1734501491516012897,1734501491515024662,9,2.5775,-0.87,0.5,6.134987,-79.48,-80.71
1734501491616735414,1734501491616336345,9,2.5775,-0.87,0.5,6.147494666666667,-79.15,-80.52
1734501491716347554,1734501491716193199,9,2.5775,-0.87,0.5,6.147494666666667,-79.43,-80.97
1734501491816570615,1734501491816346645,9,2.5775,-0.87,0.5,6.147494666666667,-79.5,-80.89
1734501491916612695,1734501491916328668,9,2.5775,-0.87,0.5,6.153748333333333,-79.04,-80.52
1734501492017058085,1734501492016564130,9,2.5775,-0.87,0.5,6.147494333333333,-79.3,-80.64
1734501492115559267,1734501492115006685,9,2.5775,-0.87,0.5,6.147494333333333,-79.42,-80.73
1734501492215614005,1734501492215087413,9,2.5775,-0.87,0.5,6.1287329999999995,-79.62,-80.93
1734501492318548209,1734501492318236351,9,2.5775,-0.87,0.5,6.141240666666666,-79.27,-80.65
1734501492418133124,1734501492417769432,9,2.5775,-0.87,0.5,6.134986666666666,-79.42,-80.71
1734501492518082312,1734501492517799377,9,2.5775,-0.87,0.5,6.147494333333333,-79.74,-80.73
1734501492617650169,1734501492617500066,9,2.5775,-0.87,0.5,6.153748333333333,-79.4,-81.04
1734501492717632893,1734501492717382907,9,2.5775,-0.87,0.5,6.17251,-79.37,-80.67
1734501492816679334,1734501492816415786,9,2.5775,-0.87,0.5,6.166256,-79.36,-80.86
1734501492917381678,1734501492917249679,9,2.5775,-0.87,0.5,6.166256,-79.22,-80.78
1734501493015510310,1734501493015004634,9,2.5775,-0.87,0.5,6.1600019999999995,-79.35,-81.08
1734501493115567933,1734501493115037679,9,2.5775,-0.87,0.5,6.153748333333333,-79.12,-80.61
1734501493216536791,1734501493216404438,9,2.5775,-0.87,0.5,6.1287329999999995,-79.2,-80.71
1734501493316834900,1734501493316644906,9,2.5775,-0.87,0.5,6.109971666666667,-79.38,-80.77
1734501493417431612,1734501493416969537,9,2.5775,-0.87,0.5,6.116225333333333,-79.58,-80.8
1734501493518050272,1734501493517823457,9,2.5775,-0.87,0.5,6.122479000000001,-79.46,-80.7
1734501493618158962,1734501493617921113,9,2.5775,-0.87,0.5,6.128732666666667,-79.49,-80.72
1734501494016598779,1734501494016323089,9,2.5775,-0.87,0.5,6.003656666666667,-79.56,-80.81
1734501494116593426,1734501494116345882,9,2.5775,-0.87,0.5,5.959880000000001,-79.2,-80.66
1734501494216708631,1734501494216512441,9,2.5775,-0.87,0.5,5.916103333333333,-79.45,-80.57
1734501494316935621,1734501494316667795,9,2.5775,-0.87,0.5,5.884834333333333,-79.11,-80.63
1734501494415966521,1734501494415142059,9,2.5775,-0.87,0.5,5.853565333333333,-79.33,-80.56
