%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1732085150587606984,2887,1732085150586909770,map,-2.5426847282830485,-4.277013439332441,1.2183904687127631,0.0,0.0,0.0,1.0
1732085150687285972,2888,1732085150686823844,map,-2.551003615187792,-4.269167599771528,1.2612407019257776,0.0,0.0,0.0,1.0
1732085150786743331,2889,1732085150786298513,map,-2.561280404402377,-4.259629757650842,1.2498294746157341,0.0,0.0,0.0,1.0
1732085150886462219,2890,1732085150886162519,map,-2.556113366052689,-4.267097031635172,1.2178692367273969,0.0,0.0,0.0,1.0
1732085150987214736,2891,1732085150986650228,map,-2.5566012963953275,-4.2648259075064034,1.1706812429994804,0.0,0.0,0.0,1.0
1732085151086202707,2892,1732085151085760116,map,-2.559969956636262,-4.261013595386067,1.1621724832779101,0.0,0.0,0.0,1.0
1732085151187165855,2893,1732085151186925888,map,-2.587148909661501,-4.237421128140799,1.1772718475875614,0.0,0.0,0.0,1.0
1732085151286775431,2894,1732085151286178827,map,-2.593201965586264,-4.240214748508109,1.2227177133275564,0.0,0.0,0.0,1.0
1732085151387560882,2895,1732085151387059688,map,-2.5994466321351855,-4.237866404019014,1.242973719528169,0.0,0.0,0.0,1.0
1732085151486494653,2896,1732085151486092329,map,-2.5825079233404025,-4.251812973073545,1.2517261677744411,0.0,0.0,0.0,1.0
1732085151587064243,2897,1732085151586625337,map,-2.575316233891645,-4.2623781998944255,1.2233978080054457,0.0,0.0,0.0,1.0
1732085151685939981,2898,1732085151685822010,map,-2.5878503149713463,-4.2462267840738415,1.1842257868535813,0.0,0.0,0.0,1.0
1732085151787619320,2899,1732085151787076711,map,-2.5938362440232066,-4.240365424076715,1.175432839417676,0.0,0.0,0.0,1.0
1732085151887669548,2900,1732085151887007474,map,-2.5795410855878673,-4.24435262684689,1.2203277802684636,0.0,0.0,0.0,1.0
1732085151987384639,2901,1732085151987085819,map,-2.5534314578446944,-4.266869521984725,1.2832968434191103,0.0,0.0,0.0,1.0
1732085152086851543,2902,1732085152086404561,map,-2.536655889841949,-4.277131364622477,1.324764181561336,0.0,0.0,0.0,1.0
1732085152185948494,2903,1732085152185560226,map,-2.5340372903429476,-4.280508189813547,1.304950889614292,0.0,0.0,0.0,1.0
1732085152286798774,2904,1732085152286170482,map,-2.5304123074010767,-4.27654282608243,1.2619417552654744,0.0,0.0,0.0,1.0
1732085152387981018,2905,1732085152387426137,map,-2.5192065062454088,-4.285141587059988,1.1948375289764044,0.0,0.0,0.0,1.0
1732085152486855624,2906,1732085152486280441,map,-2.51262702743214,-4.29771769088949,1.1768411076993361,0.0,0.0,0.0,1.0
1732085152586393410,2907,1732085152586223363,map,-2.5125597694383797,-4.309632486345123,1.1808900335759518,0.0,0.0,0.0,1.0
1732085152687018225,2908,1732085152686405181,map,-2.5317077481015366,-4.307088416011212,1.2126673439854188,0.0,0.0,0.0,1.0
1732085152786778797,2909,1732085152786494970,map,-2.5502175051826312,-4.2923469635184235,1.2351408971671498,0.0,0.0,0.0,1.0
