%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1734501485317590607,1734501485317395687,3,2.5775,0.87,1.97,7.304449333333333,-79.71,-80.75
1734501485417273454,1734501485416840553,3,2.5775,0.87,1.97,7.316956666666667,-79.45,-80.72
1734501485517856510,1734501485517509222,3,2.5775,0.87,1.97,7.310703,-80.47,-81.43
1734501485617857711,1734501485617567539,3,2.5775,0.87,1.97,7.304449000000001,-79.6,-80.93
1734501485717226639,1734501485717013597,3,2.5775,0.87,1.97,7.298195333333333,-79.76,-81.04
1734501485817166696,1734501485817014217,3,2.5775,0.87,1.97,7.279433999999999,-79.89,-80.93
1734501485917063364,1734501485916918039,3,2.5775,0.87,1.97,7.279433999999999,-79.46,-80.83
1734501486017548401,1734501486017412424,3,2.5775,0.87,1.97,7.304449333333333,-79.65,-80.98
1734501486117254585,1734501486117069005,3,2.5775,0.87,1.97,7.304449333333333,-79.87,-80.77
1734501486217363436,1734501486217154026,3,2.5775,0.87,1.97,7.3107033333333336,-79.42,-80.7
1734501486317720856,1734501486317514419,3,2.5775,0.87,1.97,7.2669266666666665,-79.01,-80.84
1734501486418273126,1734501486417990446,3,2.5775,0.87,1.97,7.285688,-79.82,-81.09
1734501486517411798,1734501486517217397,3,2.5775,0.87,1.97,7.291941666666666,-79.66,-81.04
1734501486617367885,1734501486617144346,3,2.5775,0.87,1.97,7.310703,-79.43,-80.44
1734501486717236535,1734501486717056035,3,2.5775,0.87,1.97,7.304449000000001,-79.82,-80.69
1734501486817875773,1734501486817614793,3,2.5775,0.87,1.97,7.285687666666667,-79.28,-80.7
1734501486916974234,1734501486916819810,3,2.5775,0.87,1.97,7.285687666666667,-78.9,-80.95
1734501487017480627,1734501487017305135,3,2.5775,0.87,1.97,7.285687666666667,-78.79,-81.1
1734501487117378265,1734501487117160081,3,2.5775,0.87,1.97,7.285687666666667,-79.02,-80.7
1734501487217350573,1734501487217223167,3,2.5775,0.87,1.97,7.304449000000001,-83.42,-84.22
1734501487318032340,1734501487317951917,3,2.5775,0.87,1.97,7.291941666666666,-79.2,-80.92
1734501487418115432,1734501487417915105,3,2.5775,0.87,1.97,7.304449333333333,-79.82,-80.97
1734501487517225069,1734501487517002582,3,2.5775,0.87,1.97,7.291941666666666,-79.78,-81.02
1734501487617065869,1734501487616860389,3,2.5775,0.87,1.97,7.310703,-79.59,-80.87
1734501488215373807,1734501488215015649,3,2.5775,0.87,1.97,7.291941333333334,-80.27,-81.17
1734501488317511284,1734501488317255973,3,2.5775,0.87,1.97,7.291941333333334,-79.39,-80.86
1734501488417409927,1734501488417197465,3,2.5775,0.87,1.97,7.310702666666667,-79.52,-80.99
1734501488517527605,1734501488517208576,3,2.5775,0.87,1.97,7.298195,-79.78,-80.64
1734501488615405428,1734501488615089178,3,2.5775,0.87,1.97,7.298195,-79.52,-80.96
1734501488718624681,1734501488718384265,3,2.5775,0.87,1.97,7.285687666666667,-79.21,-80.61
1734501488820206935,1734501488817973852,3,2.5775,0.87,1.97,7.279433999999999,-79.45,-80.73
1734501488917187684,1734501488916954994,3,2.5775,0.87,1.97,7.2669266666666665,-79.38,-80.85
1734501489016440338,1734501489016202688,3,2.5775,0.87,1.97,7.285688,-79.81,-80.89
1734501489116617083,1734501489116340160,3,2.5775,0.87,1.97,7.285688,-80.05,-80.97
1734501489216408767,1734501489216154098,3,2.5775,0.87,1.97,7.298195333333333,-79.38,-80.74
1734501489319384124,1734501489318288803,3,2.5775,0.87,1.97,7.298195333333333,-79.22,-80.76
1734501489416735563,1734501489416362285,3,2.5775,0.87,1.97,7.291941666666666,-79.22,-80.65
1734501489516606167,1734501489516309738,3,2.5775,0.87,1.97,7.260672666666667,-79.53,-80.72
1734501489616631006,1734501489616317033,3,2.5775,0.87,1.97,7.248165,-79.49,-80.99
1734501489716397018,1734501489716115236,3,2.5775,0.87,1.97,7.248165,-79.46,-80.64
1734501489846587274,1734501489846254587,3,2.5775,0.87,1.97,7.279433999999999,-79.64,-80.93
1734501489916425457,1734501489916288614,3,2.5775,0.87,1.97,7.285687666666667,-79.86,-80.98
1734501490015354787,1734501490015002727,3,2.5775,0.87,1.97,7.285687666666667,-79.69,-80.59
1734501490115358946,1734501490115066528,3,2.5775,0.87,1.97,7.291941666666666,-80.28,-81.53
1734501490215408455,1734501490215005874,3,2.5775,0.87,1.97,7.291941666666666,-79.72,-80.73
1734501490315789146,1734501490315049409,3,2.5775,0.87,1.97,7.285687666666667,-79.84,-80.92
1734501490415697739,1734501490414998292,3,2.5775,0.87,1.97,7.266926333333333,-79.74,-80.7
1734501490515527742,1734501490514985322,3,2.5775,0.87,1.97,7.2544189999999995,-79.31,-80.52
1734501490615329571,1734501490615010261,3,2.5775,0.87,1.97,7.260673,-79.41,-80.64
1734501490715689380,1734501490715036869,3,2.5775,0.87,1.97,7.248165333333333,-79.77,-81.01
1734501490815500311,1734501490815019607,3,2.5775,0.87,1.97,7.254419000000001,-79.67,-80.78
1734501491015455943,1734501491015015602,3,2.5775,0.87,1.97,7.260672666666667,-79.19,-80.56
1734501491117334993,1734501491115044593,3,2.5775,0.87,1.97,7.273180333333333,-80.12,-80.85
1734501491215344276,1734501491215016126,3,2.5775,0.87,1.97,7.273180333333333,-79.67,-80.88
1734501491315625675,1734501491314998626,3,2.5775,0.87,1.97,7.2669266666666665,-79.27,-80.72
1734501491415344915,1734501491415016889,3,2.5775,0.87,1.97,7.260672666666667,-79.21,-80.55
1734501491516904374,1734501491516662120,3,2.5775,0.87,1.97,7.279433999999999,-79.84,-80.98
1734501491617428139,1734501491617285728,3,2.5775,0.87,1.97,6.053687333333333,-84.84,-101.2
1734501491717398850,1734501491717095136,3,2.5775,0.87,1.97,6.0787026666666675,-79.72,-80.96
1734501491817801376,1734501491817633867,3,2.5775,0.87,1.97,6.053687666666666,-79.67,-80.73
1734501491917552957,1734501491917369842,3,2.5775,0.87,1.97,7.285688,-80.07,-80.84
1734501492017519095,1734501492017447710,3,2.5775,0.87,1.97,7.273180333333333,-79.62,-80.56
1734501492116230720,1734501492116128444,3,2.5775,0.87,1.97,7.285687666666667,-79.78,-80.68
1734501492216936779,1734501492216553688,3,2.5775,0.87,1.97,7.27318,-79.17,-80.45
1734501492319512902,1734501492319164752,3,2.5775,0.87,1.97,7.279433666666667,-79.18,-80.54
1734501492419120572,1734501492418823003,3,2.5775,0.87,1.97,7.27318,-79.38,-80.62
1734501492518859171,1734501492518657684,3,2.5775,0.87,1.97,7.279433999999999,-79.54,-81.05
1734501492618464015,1734501492618327856,3,2.5775,0.87,1.97,7.273180333333333,-79.8,-80.88
1734501492719087266,1734501492718738079,3,2.5775,0.87,1.97,7.285688,-79.77,-80.78
1734501492817621051,1734501492817381381,3,2.5775,0.87,1.97,7.285688,-79.97,-80.9
1734501492915424151,1734501492915016889,3,2.5775,0.87,1.97,3.8711079999999995,-79.83,-80.82
1734501493816649636,1734501493816219091,3,2.5775,0.87,1.97,7.248164666666667,-79.36,-81.07
1734501493916886959,1734501493916606426,3,2.5775,0.87,1.97,7.223149333333333,-79.51,-81.1
1734501494018176036,1734501494017916202,3,2.5775,0.87,1.97,7.173119,-79.32,-80.77
1734501494118409293,1734501494118200063,3,2.5775,0.87,1.97,7.148104,-79.8,-81.77
1734501494215481501,1734501494215008974,3,2.5775,0.87,1.97,7.123089,-79.49,-81.63
1734501494315884162,1734501494315014362,3,2.5775,0.87,1.97,7.098073666666667,-79.57,-83.12
1734501494416840220,1734501494416643619,3,2.5775,0.87,1.97,7.079311999999999,-80.55,-83.04
1734501494516510685,1734501494516236782,3,2.5775,0.87,1.97,7.035535333333333,-79.87,-82.07
1734501494616667504,1734501494616384744,3,2.5775,0.87,1.97,6.985505,-80.03,-81.28
1734501494716355545,1734501494716232538,3,2.5775,0.87,1.97,6.922967,-79.96,-80.96
1734501494816637361,1734501494816420555,3,2.5775,0.87,1.97,6.879190333333334,-79.43,-80.62
1734501494916593272,1734501494916496276,3,2.5775,0.87,1.97,6.822906,-79.4,-80.48
1734501495017617557,1734501495017403364,3,2.5775,0.87,1.97,6.747860333333333,-79.86,-80.81
1734501495117758052,1734501495117607593,3,2.5775,0.87,1.97,6.697829666666667,-79.28,-80.4
1734501495217467280,1734501495217301607,3,2.5775,0.87,1.97,6.672814333333334,-79.55,-80.88
1734501495317504855,1734501495317243576,3,2.5775,0.87,1.97,6.647799,-79.23,-80.75
1734501495417485443,1734501495417220830,3,2.5775,0.87,1.97,6.622784,-81.45,-83.9
1734501495517570183,1734501495517360448,3,2.5775,0.87,1.97,6.566499666666666,-80.29,-80.93
1734501495617512929,1734501495617303609,3,2.5775,0.87,1.97,6.522723,-79.09,-80.54
1734501495717564465,1734501495717274665,3,2.5775,0.87,1.97,6.453931,-80.04,-83.3
1734501495817283491,1734501495817126750,3,2.5775,0.87,1.97,6.403900666666666,-79.71,-83.22
1734501495917201279,1734501495917075157,3,2.5775,0.87,1.97,6.341362666666666,-78.92,-81.43
1734501496017451725,1734501496017289161,3,2.5775,0.87,1.97,6.266317,-78.97,-80.72
1734501496117157827,1734501496116954803,3,2.5775,0.87,1.97,6.185017333333334,-79.17,-80.79
1734501496217211479,1734501496217064142,3,2.5775,0.87,1.97,6.1287329999999995,-79.03,-80.52
