%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1734501485234210851,26483,1734501485233709573,map,-2.526096453408709,-4.220529912679625,1.0391508710691149,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485333286134,26484,1734501485332887887,map,-2.5172989722386023,-4.236571117620934,1.0406051297919976,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485434598703,26485,1734501485434056758,map,-2.508323498396067,-4.2568822017993515,1.0468196034425192,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485534873358,26486,1734501485534309625,map,-2.4978606605348888,-4.27322383735476,1.079354298089816,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485634242165,26487,1734501485633621454,map,-2.4926316419051027,-4.281691575172016,1.0973013820546318,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485733252393,26488,1734501485732751131,map,-2.4994138987509813,-4.2721980504399575,1.1058753854357644,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485833308388,26489,1734501485832722663,map,-2.518944512817299,-4.24475902308431,1.1106960324768493,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501485932915917,26490,1734501485932674646,map,-2.543131644665384,-4.216019933286954,1.1222550761750132,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501486033187248,26491,1734501486032730340,map,-2.560852432270881,-4.1969802745703415,1.1125345026595828,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501486132479215,26492,1734501486131964206,map,-2.5688323340075745,-4.19706642642858,1.0881504253369285,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
1734501486233068218,26493,1734501486232818841,map,-2.577263283286369,-4.194070124379902,1.061676823604577,0.0,0.0,0.0,1.0,0,12.0,9.0,3.0,5.0
