%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1734501485316789022,1734501485316343784,5,2.5775,-0.87,1.97,6.153748333333333,-80.26,-80.97
1734501485416324480,1734501485416082382,5,2.5775,-0.87,1.97,6.147494333333333,-79.85,-80.66
1734501485516931745,1734501485516475677,5,2.5775,-0.87,1.97,6.141240333333333,-80.08,-80.67
1734501485616923844,1734501485616530179,5,2.5775,-0.87,1.97,6.147494333333333,-79.94,-80.9
1734501485716358875,1734501485716170549,5,2.5775,-0.87,1.97,6.153748333333333,-80.01,-81.17
1734501485816494742,1734501485816107988,5,2.5775,-0.87,1.97,6.153748333333333,-79.92,-80.58
1734501485916380295,1734501485916152000,5,2.5775,-0.87,1.97,6.166256,-80.15,-81.26
1734501486016711529,1734501486016446828,5,2.5775,-0.87,1.97,6.166256,-79.73,-80.86
1734501486116499388,1734501486116124629,5,2.5775,-0.87,1.97,6.185017333333334,-80.62,-81.12
1734501486216404983,1734501486216135978,5,2.5775,-0.87,1.97,6.185017333333334,-80.76,-81.45
1734501486316852406,1734501486316457033,5,2.5775,-0.87,1.97,6.178763333333333,-80.39,-81.05
1734501486417306860,1734501486416922807,5,2.5775,-0.87,1.97,6.1600019999999995,-80.05,-80.77
1734501486516498144,1734501486516415834,5,2.5775,-0.87,1.97,6.153748,-79.85,-80.55
1734501486616550543,1734501486616286754,5,2.5775,-0.87,1.97,6.166255666666667,-79.76,-81.14
1734501486716601724,1734501486716326475,5,2.5775,-0.87,1.97,6.172509666666667,-79.82,-81.29
1734501486817106580,1734501486816524505,5,2.5775,-0.87,1.97,6.166256,-79.85,-80.73
1734501486916363754,1734501486916109800,5,2.5775,-0.87,1.97,6.134986666666666,-80.17,-80.76
1734501487016785265,1734501487016499042,5,2.5775,-0.87,1.97,6.147494333333333,-79.77,-81.58
1734501487116563731,1734501487116334915,5,2.5775,-0.87,1.97,6.134986666666666,-80.7,-81.87
1734501487216512187,1734501487216176986,5,2.5775,-0.87,1.97,6.153748333333333,-79.7,-80.88
1734501487318053575,1734501487317237138,5,2.5775,-0.87,1.97,6.134987,-80.71,-81.59
1734501487417449440,1734501487417212247,5,2.5775,-0.87,1.97,6.1600019999999995,-79.8,-80.81
1734501487516471109,1734501487516164302,5,2.5775,-0.87,1.97,6.166255666666667,-79.44,-80.79
1734501487616361369,1734501487616040229,5,2.5775,-0.87,1.97,6.172509333333333,-79.82,-80.98
1734501487716410149,1734501487716159582,5,2.5775,-0.87,1.97,6.153748,-80.07,-80.98
