%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733129523610995925,1733129523610712051,3,2.5775,-0.87,1.97,6.197525,-80.53,-81.66
1733129523710942067,1733129523710808515,3,2.5775,-0.87,1.97,6.185017333333334,-80.88,-81.39
1733129523811169636,1733129523810844182,3,2.5775,-0.87,1.97,6.166256,-80.42,-81.3
1733129523911020046,1733129523910848855,3,2.5775,-0.87,1.97,6.166256,-81.09,-81.25
1733129524010710439,1733129524010575771,3,2.5775,-0.87,1.97,6.178763666666666,-80.84,-81.27
1733129524207986169,1733129524207626581,3,2.5775,-0.87,1.97,6.178763666666666,-81.13,-81.06
1733129524409147017,1733129524408901691,3,2.5775,-0.87,1.97,6.191271,-80.79,-80.91
1733129524509241120,1733129524508957147,3,2.5775,-0.87,1.97,6.210032333333333,-80.51,-81.6
1733129524609303796,1733129524608991384,3,2.5775,-0.87,1.97,6.210032333333333,-81.07,-81.03
1733129524709030080,1733129524708753108,3,2.5775,-0.87,1.97,6.185017333333334,-80.67,-81.0
1733129524810933376,1733129524810730695,3,2.5775,-0.87,1.97,6.178763333333333,-80.4,-80.71
1733129524907795107,1733129524907622337,3,2.5775,-0.87,1.97,6.166255666666667,-80.45,-81.32
1733129525010721511,1733129525010416030,3,2.5775,-0.87,1.97,6.185016999999999,-80.87,-80.89
1733129525110720340,1733129525110562086,3,2.5775,-0.87,1.97,6.178763333333333,-80.58,-80.73
1733129525210466732,1733129525210302829,3,2.5775,-0.87,1.97,6.178763333333333,-80.89,-81.48
1733129525608047492,1733129525607626199,3,2.5775,-0.87,1.97,6.197524666666666,-80.51,-80.61
1733129525708197499,1733129525707655668,3,2.5775,-0.87,1.97,6.210032000000001,-80.64,-81.3
1733129525808157392,1733129525807621479,3,2.5775,-0.87,1.97,6.197524666666666,-80.81,-81.13
1733129525907898924,1733129525907624721,3,2.5775,-0.87,1.97,6.191271,-80.96,-81.25
1733129526007988894,1733129526007616996,3,2.5775,-0.87,1.97,6.178763666666666,-80.92,-81.67
1733129526109284858,1733129526109021663,3,2.5775,-0.87,1.97,6.191271,-80.92,-81.06
1733129526209223548,1733129526208969116,3,2.5775,-0.87,1.97,6.197524666666666,-81.69,-81.7
1733129526309374583,1733129526308992624,3,2.5775,-0.87,1.97,6.203778333333333,-81.14,-81.22
1733129526408954521,1733129526408839225,3,2.5775,-0.87,1.97,6.197524666666666,-80.95,-81.34
1733129526509006672,1733129526508782625,3,2.5775,-0.87,1.97,6.191271,-80.52,-81.03
1733129526609414067,1733129526609166622,3,2.5775,-0.87,1.97,6.191271,-80.77,-80.8
1733129526708073837,1733129526707600116,3,2.5775,-0.87,1.97,6.185017333333334,-80.84,-81.39
1733129526808293636,1733129526807649374,3,2.5775,-0.87,1.97,6.178763666666666,-80.85,-81.02
1733129526908067837,1733129526907611608,3,2.5775,-0.87,1.97,6.160002333333334,-80.65,-81.08
1733129527008149314,1733129527007624387,3,2.5775,-0.87,1.97,6.153748333333333,-80.31,-81.15
1733129527108131495,1733129527107612133,3,2.5775,-0.87,1.97,6.1600019999999995,-81.25,-81.23
1733129527208211564,1733129527207658767,3,2.5775,-0.87,1.97,6.185016999999999,-81.0,-81.6
1733129527307983115,1733129527307652235,3,2.5775,-0.87,1.97,6.185016999999999,-80.26,-82.02
1733129527508248403,1733129527507648706,3,2.5775,-0.87,1.97,6.185016999999999,-80.51,-80.84
1733129527608029754,1733129527607609510,3,2.5775,-0.87,1.97,6.178763333333333,-80.6,-81.23
1733129527708051908,1733129527707599401,3,2.5775,-0.87,1.97,6.203778666666667,-80.49,-80.74
1733129527807941541,1733129527807620286,3,2.5775,-0.87,1.97,6.197525,-80.55,-81.0
1733129527908094537,1733129527907604217,3,2.5775,-0.87,1.97,6.178763666666666,-80.75,-81.09
1733129528008089517,1733129528007613420,3,2.5775,-0.87,1.97,6.178763666666666,-81.61,-82.75
1733129528107977936,1733129528107612609,3,2.5775,-0.87,1.97,6.197525,-81.73,-81.36
1733129528209045884,1733129528208859205,3,2.5775,-0.87,1.97,6.203778666666667,-81.0,-81.28
1733129528608982461,1733129528608875989,3,2.5775,-0.87,1.97,6.178763333333333,-80.48,-80.56
1733129528710129597,1733129528709042549,3,2.5775,-0.87,1.97,6.191271,-80.54,-80.78
1733129528808941953,1733129528808728694,3,2.5775,-0.87,1.97,6.191271,-81.19,-81.1
1733129528908999923,1733129528908808708,3,2.5775,-0.87,1.97,6.191271,-80.86,-80.74
1733129529009782374,1733129529009473800,3,2.5775,-0.87,1.97,6.172509666666667,-80.99,-81.22
1733129529109284769,1733129529108932256,3,2.5775,-0.87,1.97,6.178763666666666,-80.47,-81.16
1733129529209264973,1733129529209004402,3,2.5775,-0.87,1.97,6.17251,-81.04,-81.43
1733129529309296542,1733129529308888435,3,2.5775,-0.87,1.97,6.17251,-80.62,-80.94
1733129529409012042,1733129529408716440,3,2.5775,-0.87,1.97,6.17251,-80.62,-81.41
1733129529509488010,1733129529509154081,3,2.5775,-0.87,1.97,6.185017333333334,-80.69,-80.7
1733129529608101389,1733129529607631683,3,2.5775,-0.87,1.97,6.191271,-80.61,-80.87
1733129529707856352,1733129529707539796,3,2.5775,-0.87,1.97,6.185016999999999,-81.27,-81.36
1733129529808052720,1733129529807628631,3,2.5775,-0.87,1.97,6.178763333333333,-80.87,-80.85
1733129529907935399,1733129529907595872,3,2.5775,-0.87,1.97,6.172509666666667,-80.45,-80.76
1733129530008038949,1733129530007612466,3,2.5775,-0.87,1.97,6.185017333333334,-80.68,-81.58
1733129530109999771,1733129530109678030,3,2.5775,-0.87,1.97,6.203778666666667,-80.92,-81.73
1733129530310078577,1733129530309705018,3,2.5775,-0.87,1.97,6.203778666666667,-80.7,-80.81
1733129530409100342,1733129530408865213,3,2.5775,-0.87,1.97,6.185017333333334,-80.49,-80.87
1733129530509595178,1733129530509262561,3,2.5775,-0.87,1.97,6.147494666666667,-80.47,-80.96
1733129530610132111,1733129530609971046,3,2.5775,-0.87,1.97,6.153748333333333,-80.68,-81.6
1733129530909957096,1733129530909568309,3,2.5775,-0.87,1.97,6.166256,-80.46,-81.03
1733129531010285660,1733129531010183095,3,2.5775,-0.87,1.97,6.185017333333334,-80.45,-81.3
1733129531509790659,1733129531509638071,3,2.5775,-0.87,1.97,6.178763333333333,-80.75,-80.83
1733129531610658838,1733129531610455274,3,2.5775,-0.87,1.97,6.178763333333333,-81.53,-81.35
1733129531711007941,1733129531710752964,3,2.5775,-0.87,1.97,6.185016999999999,-80.63,-80.71
1733129531810657152,1733129531810390472,3,2.5775,-0.87,1.97,6.191271,-80.57,-80.69
1733129531908991565,1733129531908742427,3,2.5775,-0.87,1.97,6.185017333333334,-80.56,-80.73
1733129532009102982,1733129532008675575,3,2.5775,-0.87,1.97,6.172509666666667,-80.68,-80.84
1733129532108851708,1733129532108670234,3,2.5775,-0.87,1.97,6.172509666666667,-81.76,-81.83
1733129532209046166,1733129532208840608,3,2.5775,-0.87,1.97,6.172509666666667,-81.52,-81.55
1733129532309259118,1733129532308945178,3,2.5775,-0.87,1.97,6.185017333333334,-80.95,-81.24
1733129532410077511,1733129532409741163,3,2.5775,-0.87,1.97,6.185017333333334,-81.01,-81.94
1733129532509386788,1733129532509030103,3,2.5775,-0.87,1.97,6.185017333333334,-81.2,-80.85
1733129532609209120,1733129532608828306,3,2.5775,-0.87,1.97,6.191271,-80.75,-81.2
1733129532709123757,1733129532708827733,3,2.5775,-0.87,1.97,6.191271,-80.91,-80.92
1733129532808968514,1733129532808679580,3,2.5775,-0.87,1.97,6.185017333333334,-80.74,-80.73
1733129532908989004,1733129532908828496,3,2.5775,-0.87,1.97,6.160002333333334,-81.02,-81.29
1733129533009131564,1733129533008833646,3,2.5775,-0.87,1.97,6.147494666666667,-80.2,-81.05
1733129533108985675,1733129533108784914,3,2.5775,-0.87,1.97,6.1287329999999995,-80.04,-80.97
1733129533209559007,1733129533209347486,3,2.5775,-0.87,1.97,6.109971333333333,-80.11,-81.09
1733129533309209004,1733129533308885574,3,2.5775,-0.87,1.97,6.084956000000001,-79.92,-80.67
1733129533409166230,1733129533408767223,3,2.5775,-0.87,1.97,6.059940999999999,-80.23,-81.25
1733129533509955159,1733129533509737968,3,2.5775,-0.87,1.97,6.034926,-79.69,-81.19
1733129533609768903,1733129533609608411,3,2.5775,-0.87,1.97,5.997402999999999,-79.62,-82.06
1733129533711421712,1733129533711283683,3,2.5775,-0.87,1.97,5.953626333333332,-79.82,-82.21
1733129533908022711,1733129533907656192,3,2.5775,-0.87,1.97,5.891088,-80.59,-83.28
1733129534009644704,1733129534009256124,3,2.5775,-0.87,1.97,5.82855,-79.75,-80.79
1733129534109098704,1733129534108795881,3,2.5775,-0.87,1.97,5.740996666666668,-79.91,-81.51
1733129534209821254,1733129534209218263,3,2.5775,-0.87,1.97,5.684712666666667,-80.54,-81.38
1733129534309069770,1733129534308800935,3,2.5775,-0.87,1.97,5.609666999999999,-80.21,-80.63
1733129534407980357,1733129534407624244,3,2.5775,-0.87,1.97,5.565890333333333,-79.82,-80.91
1733129534510082418,1733129534509986162,3,2.5775,-0.87,1.97,5.4908443333333325,-79.4,-80.75
1733129534610060899,1733129534609781265,3,2.5775,-0.87,1.97,5.43456,-79.74,-81.1
1733129534709652920,1733129534709528923,3,2.5775,-0.87,1.97,5.378275666666667,-79.66,-81.43
1733129534809755814,1733129534809566974,3,2.5775,-0.87,1.97,5.328245333333334,-79.66,-82.28
1733129534909880696,1733129534909552812,3,2.5775,-0.87,1.97,5.284468666666666,-79.69,-81.35
1733129535010382265,1733129535010096788,3,2.5775,-0.87,1.97,5.209423,-79.97,-80.54
1733129535110113594,1733129535109877586,3,2.5775,-0.87,1.97,5.140631333333333,-79.99,-80.78
1733129535210190211,1733129535209903955,3,2.5775,-0.87,1.97,5.071839333333334,-79.2,-80.49
1733129535309804921,1733129535309587955,3,2.5775,-0.87,1.97,5.009301333333333,-79.18,-81.15
1733129535409796557,1733129535409623861,3,2.5775,-0.87,1.97,4.953017,-79.49,-81.32
1733129535510987904,1733129535510640621,3,2.5775,-0.87,1.97,4.877971666666667,-79.72,-80.85
1733129535610134256,1733129535609861612,3,2.5775,-0.87,1.97,4.821687333333333,-79.76,-80.62
1733129535710000243,1733129535709800004,3,2.5775,-0.87,1.97,4.734134,-79.42,-80.57
1733129535809812664,1733129535809731006,3,2.5775,-0.87,1.97,4.665342,-78.88,-81.12
1733129535909934172,1733129535909623146,3,2.5775,-0.87,1.97,4.590296333333334,-78.96,-80.98
1733129536010468264,1733129536010043382,3,2.5775,-0.87,1.97,4.5402656666666665,-79.24,-81.2
1733129536109854025,1733129536109771490,3,2.5775,-0.87,1.97,4.4777276666666666,-79.01,-80.97
