%time,field.pose_stamped.header.seq,field.pose_stamped.header.stamp,field.pose_stamped.header.frame_id,field.pose_stamped.pose.position.x,field.pose_stamped.pose.position.y,field.pose_stamped.pose.position.z,field.pose_stamped.pose.orientation.x,field.pose_stamped.pose.orientation.y,field.pose_stamped.pose.orientation.z,field.pose_stamped.pose.orientation.w,field.anchor_array.layout.data_offset,field.anchor_array.data0,field.anchor_array.data1,field.anchor_array.data2,field.anchor_array.data3
1733037964628254880,18447,1733037964627992153,map,0.07458370740760924,-4.210488855626493,1.1613417225745615,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037964728447686,18448,1733037964727782249,map,0.08015366579536852,-4.210754318320995,1.1695707822424855,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037964827846602,18449,1733037964827430248,map,0.09642905998696846,-4.2132732242158975,1.1682071553710862,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037964928089372,18450,1733037964927558660,map,0.12053362781044491,-4.218999199380607,1.1899759553660008,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965028397975,18451,1733037965027973175,map,0.14614091586709324,-4.227326444280834,1.2009059198951564,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965127853467,18452,1733037965127512931,map,0.1586445856267484,-4.234108231397645,1.2031489572031377,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965227521860,18453,1733037965227218389,map,0.16096861128056333,-4.237986301898027,1.1733597329305299,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965327563188,18454,1733037965327303171,map,0.1422744044789962,-4.239503314926164,1.1490515063584086,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965428212913,18455,1733037965427755832,map,0.1202104640434052,-4.241991127571272,1.1512429903173842,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965527815561,18456,1733037965527060508,map,0.1003476127454812,-4.240442746488643,1.166606175489498,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965627762691,18457,1733037965627393484,map,0.08395948537608862,-4.240337913521857,1.1943624566771853,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965727598187,18458,1733037965727311372,map,0.07643114568437985,-4.2372284063618615,1.196585367354049,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
1733037965827388163,18459,1733037965827159404,map,0.06678767227669698,-4.238184434714599,1.1986142342907573,0.0,0.0,0.0,1.0,0,9.0,5.0,12.0,3.0
