%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730020288377668807,1730020288377360343,12,-2.58,-0.87,1.97,4.302620999999999,-78.68,-81.47
1730020288476429650,1730020288476089954,12,-2.58,-0.87,1.97,4.296367,-78.26,-80.55
1730020288578858078,1730020288578600168,12,-2.58,-0.87,1.97,4.315128333333333,-78.37,-80.57
1730020288677752096,1730020288677517890,12,-2.58,-0.87,1.97,4.308874666666667,-78.94,-80.93
1730020288779048669,1730020288778772592,12,-2.58,-0.87,1.97,4.315128666666666,-78.9,-80.58
1730020288878780111,1730020288878683328,12,-2.58,-0.87,1.97,4.308874666666666,-78.65,-80.92
1730020288979351762,1730020288979035139,12,-2.58,-0.87,1.97,4.302620666666667,-78.72,-80.84
1730020289078802485,1730020289078578710,12,-2.58,-0.87,1.97,4.321382,-78.66,-81.22
1730020289179026524,1730020289178833007,12,-2.58,-0.87,1.97,4.315128333333333,-78.84,-80.76
1730020289279204373,1730020289278996229,12,-2.58,-0.87,1.97,4.302620999999999,-78.31,-80.58
1730020289378770454,1730020289378538846,12,-2.58,-0.87,1.97,4.302620999999999,-78.79,-81.26
1730020289479330939,1730020289478896141,12,-2.58,-0.87,1.97,4.2963673333333325,-78.01,-80.53
1730020289578006650,1730020289577660322,12,-2.58,-0.87,1.97,4.302620999999999,-78.73,-80.54
1730020289678261188,1730020289677735328,12,-2.58,-0.87,1.97,4.290113333333333,-78.33,-80.87
1730020289778315598,1730020289777976274,12,-2.58,-0.87,1.97,4.290113333333333,-78.38,-80.86
1730020289877942502,1730020289877621173,12,-2.58,-0.87,1.97,4.302620999999999,-78.88,-81.05
1730020289976414813,1730020289976086616,12,-2.58,-0.87,1.97,4.327636333333333,-78.7,-81.25
1730020290078373616,1730020290076057195,12,-2.58,-0.87,1.97,4.33389,-78.76,-80.48
1730020290176568176,1730020290176095962,12,-2.58,-0.87,1.97,4.327636,-78.16,-80.49
1730020290277178424,1730020290276143550,12,-2.58,-0.87,1.97,4.290113,-78.29,-80.5
1730020290376444382,1730020290376080036,12,-2.58,-0.87,1.97,4.290113,-78.48,-80.92
1730020290480287305,1730020290479918241,12,-2.58,-0.87,1.97,4.271351666666667,-78.28,-80.8
