%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730041400747687898,1730041400747455596,3,2.5775,-0.87,1.97,6.153748333333333,-80.17,-81.16
1730041400846488163,1730041400846063375,3,2.5775,-0.87,1.97,6.153748333333333,-79.7,-80.77
1730041400948257393,1730041400948034048,3,2.5775,-0.87,1.97,6.147494333333333,-79.65,-80.58
1730041401049119962,1730041401048855543,3,2.5775,-0.87,1.97,6.153748333333333,-80.18,-81.22
1730041401148608795,1730041401148353576,3,2.5775,-0.87,1.97,6.166256,-80.01,-81.18
1730041401248551510,1730041401248332023,3,2.5775,-0.87,1.97,6.191271333333333,-79.61,-80.94
1730041401348723001,1730041401348544597,3,2.5775,-0.87,1.97,6.178763666666666,-80.11,-81.19
1730041401449146592,1730041401448852300,3,2.5775,-0.87,1.97,6.191271,-80.28,-81.75
1730041401548358652,1730041401548221111,3,2.5775,-0.87,1.97,6.1600019999999995,-79.41,-80.5
1730041401648274739,1730041401648124456,3,2.5775,-0.87,1.97,6.166255666666667,-79.72,-81.02
1730041401750168555,1730041401749843597,3,2.5775,-0.87,1.97,6.166255666666667,-80.34,-81.17
1730041401849315420,1730041401848973274,3,2.5775,-0.87,1.97,6.185016999999999,-79.96,-81.0
1730041401949194371,1730041401948932886,3,2.5775,-0.87,1.97,6.197524666666666,-79.98,-81.47
1730041402048739568,1730041402048626184,3,2.5775,-0.87,1.97,6.185017333333334,-79.71,-80.84
1730041402148995823,1730041402148784875,3,2.5775,-0.87,1.97,6.185017333333334,-79.77,-80.74
1730041402249598417,1730041402249323606,3,2.5775,-0.87,1.97,6.185017333333334,-80.38,-81.13
1730041402346465376,1730041402346004486,3,2.5775,-0.87,1.97,6.197524666666666,-79.9,-81.82
1730041402446402362,1730041402446045637,3,2.5775,-0.87,1.97,6.172509333333333,-79.48,-80.45
1730041402550230951,1730041402550071001,3,2.5775,-0.87,1.97,6.166255666666667,-80.64,-81.1
1730041402649826022,1730041402649512052,3,2.5775,-0.87,1.97,6.147494333333333,-79.58,-80.62
1730041402749114191,1730041402748909711,3,2.5775,-0.87,1.97,6.172509666666667,-79.81,-81.0
1730041402848959129,1730041402848802328,3,2.5775,-0.87,1.97,6.1600019999999995,-79.79,-81.08
1730041402950054915,1730041402949815273,3,2.5775,-0.87,1.97,6.1600019999999995,-80.32,-81.03
1730041403046447177,1730041403046010255,3,2.5775,-0.87,1.97,6.1287329999999995,-80.01,-81.35
1730041403146359567,1730041403146048069,3,2.5775,-0.87,1.97,6.128733,-79.49,-80.65
1730041403247633449,1730041403247289657,3,2.5775,-0.87,1.97,6.128733,-79.51,-80.62
1730041403349036452,1730041403348658323,3,2.5775,-0.87,1.97,6.153748333333333,-79.6,-81.1
1730041403448649966,1730041403448424100,3,2.5775,-0.87,1.97,6.166256,-79.59,-80.89
1730041403548269700,1730041403548135519,3,2.5775,-0.87,1.97,6.178763666666666,-79.87,-81.02
1730041403648036082,1730041403647939443,3,2.5775,-0.87,1.97,6.166256,-79.52,-80.54
1730041403748612927,1730041403748251676,3,2.5775,-0.87,1.97,6.153748333333333,-79.73,-80.81
1730041403847572911,1730041403847232103,3,2.5775,-0.87,1.97,6.147494666666667,-79.49,-80.5
1730041403946302083,1730041403946020126,3,2.5775,-0.87,1.97,6.160002333333334,-79.77,-81.0
1730041404048226259,1730041404048012256,3,2.5775,-0.87,1.97,6.153748333333333,-79.54,-80.57
1730041404148364489,1730041404148133277,3,2.5775,-0.87,1.97,6.141240666666666,-80.11,-81.26
1730041404248841120,1730041404248565435,3,2.5775,-0.87,1.97,6.153748,-80.66,-81.01
1730041404348442020,1730041404348128795,3,2.5775,-0.87,1.97,6.166255666666667,-79.93,-81.08
1730041404448313411,1730041404448228359,3,2.5775,-0.87,1.97,6.178763333333333,-80.0,-81.01
1730041404549066361,1730041404548763990,3,2.5775,-0.87,1.97,6.172509666666667,-79.44,-80.59
1730041404648673718,1730041404648378372,3,2.5775,-0.87,1.97,6.178763666666666,-79.86,-81.07
1730041404748196668,1730041404748016595,3,2.5775,-0.87,1.97,6.172509666666667,-80.1,-80.83
1730041404848138348,1730041404847976922,3,2.5775,-0.87,1.97,6.191271,-79.59,-80.76
1730041404948901751,1730041404948724746,3,2.5775,-0.87,1.97,6.191271,-79.72,-81.05
1730041405048736455,1730041405048533678,3,2.5775,-0.87,1.97,6.197525,-79.55,-81.01
1730041405149156395,1730041405148976087,3,2.5775,-0.87,1.97,6.178763666666666,-80.07,-80.7
1730041405248333142,1730041405248106002,3,2.5775,-0.87,1.97,6.185017333333334,-79.78,-80.55
1730041405347309947,1730041405347204685,3,2.5775,-0.87,1.97,6.203778666666667,-79.73,-80.81
1730041405447532318,1730041405447226047,3,2.5775,-0.87,1.97,6.203778666666667,-79.5,-80.94
1730041405646405537,1730041405646037578,3,2.5775,-0.87,1.97,6.210032333333333,-79.83,-80.96
1730041406046448602,1730041406046035766,3,2.5775,-0.87,1.97,6.153748333333333,-79.65,-80.72
1730041406148110057,1730041406147941827,3,2.5775,-0.87,1.97,6.166255666666667,-79.6,-81.88
1730041406248653578,1730041406248293638,3,2.5775,-0.87,1.97,6.178763333333333,-79.56,-80.74
1730041406350935926,1730041406349946022,3,2.5775,-0.87,1.97,6.178763333333333,-79.58,-80.98
1730041406478064513,1730041406477789163,3,2.5775,-0.87,1.97,6.1600019999999995,-80.01,-80.92
1730041406546357529,1730041406546072244,3,2.5775,-0.87,1.97,6.178763333333333,-79.85,-81.22
1730041406648215775,1730041406648134469,3,2.5775,-0.87,1.97,6.178763333333333,-79.59,-80.89
1730041406748490500,1730041406748126983,3,2.5775,-0.87,1.97,6.197524666666666,-79.71,-81.36
1730041406848140183,1730041406847607612,3,2.5775,-0.87,1.97,6.185017333333334,-79.74,-80.97
1730041406947550481,1730041406947200775,3,2.5775,-0.87,1.97,6.197524666666666,-79.94,-81.12
1730041407047381367,1730041407047214031,3,2.5775,-0.87,1.97,6.191271,-80.68,-81.76
1730041407147631803,1730041407147292137,3,2.5775,-0.87,1.97,6.197524666666666,-79.95,-81.23
1730041407249068828,1730041407248835086,3,2.5775,-0.87,1.97,6.191271,-79.98,-81.21
1730041407348194021,1730041407347764015,3,2.5775,-0.87,1.97,6.191271,-79.58,-81.05
1730041407447651869,1730041407447394132,3,2.5775,-0.87,1.97,6.178763333333333,-79.36,-80.76
1730041407547654693,1730041407547370910,3,2.5775,-0.87,1.97,6.1600019999999995,-79.73,-80.91
1730041407647511952,1730041407647274494,3,2.5775,-0.87,1.97,6.141240666666666,-79.75,-80.77
1730041407747520059,1730041407747434854,3,2.5775,-0.87,1.97,6.134987,-79.63,-80.9
1730041407847283996,1730041407847123622,3,2.5775,-0.87,1.97,6.153748333333333,-80.81,-80.99
1730041407947409953,1730041407947165966,3,2.5775,-0.87,1.97,6.166256,-79.85,-80.98
1730041408046211339,1730041408046040773,3,2.5775,-0.87,1.97,6.172509666666667,-79.58,-81.13
1730041408146551643,1730041408146079301,3,2.5775,-0.87,1.97,6.185017333333334,-79.74,-81.19
1730041408249545383,1730041408249323606,3,2.5775,-0.87,1.97,6.185017333333334,-79.87,-80.89
1730041408348558120,1730041408348267316,3,2.5775,-0.87,1.97,6.197525,-79.89,-81.03
1730041408448421259,1730041408448264122,3,2.5775,-0.87,1.97,6.178763666666666,-80.05,-80.85
1730041408549558988,1730041408549272537,3,2.5775,-0.87,1.97,6.185017333333334,-79.64,-80.78
1730041408646702493,1730041408646025896,3,2.5775,-0.87,1.97,6.178763666666666,-79.73,-80.77
1730041408746360735,1730041408746032238,3,2.5775,-0.87,1.97,6.178763666666666,-79.87,-80.97
1730041408846708467,1730041408846002101,3,2.5775,-0.87,1.97,6.166256,-79.85,-80.98
1730041408946424542,1730041408946033000,3,2.5775,-0.87,1.97,6.178763333333333,-80.7,-81.38
1730041409046549530,1730041409046012639,3,2.5775,-0.87,1.97,6.191270666666667,-79.84,-81.48
1730041409146463282,1730041409146076679,3,2.5775,-0.87,1.97,6.185016999999999,-79.52,-80.58
1730041409246534169,1730041409246002912,3,2.5775,-0.87,1.97,6.172509666666667,-80.04,-80.76
1730041409348661914,1730041409348421812,3,2.5775,-0.87,1.97,6.160002333333334,-79.81,-80.65
1730041409448540014,1730041409448377132,3,2.5775,-0.87,1.97,6.185017333333334,-79.59,-80.79
1730041409548816235,1730041409548655271,3,2.5775,-0.87,1.97,6.185017333333334,-80.16,-81.1
1730041409649008462,1730041409648793697,3,2.5775,-0.87,1.97,6.178763333333333,-79.45,-81.0
1730041409746451355,1730041409746042251,3,2.5775,-0.87,1.97,6.1287329999999995,-80.05,-81.21
1730041409846528880,1730041409846035242,3,2.5775,-0.87,1.97,6.103717666666667,-79.59,-80.47
1730041409946762166,1730041409946065425,3,2.5775,-0.87,1.97,6.078702333333333,-79.59,-80.64
1730041410046955775,1730041410046121358,3,2.5775,-0.87,1.97,6.084956000000001,-80.09,-81.17
1730041410146574084,1730041410146033048,3,2.5775,-0.87,1.97,6.047433000000001,-79.98,-80.9
1730041410246443713,1730041410246024608,3,2.5775,-0.87,1.97,6.022417999999999,-80.25,-81.15
1730041410346585416,1730041410346016168,3,2.5775,-0.87,1.97,5.978641333333333,-79.32,-80.83
1730041410948185533,1730041410947982549,3,2.5775,-0.87,1.97,5.791027333333333,-80.7,-83.2
1730041411048207774,1730041411048027753,3,2.5775,-0.87,1.97,5.722235333333334,-79.53,-80.98
1730041411148237068,1730041411148001432,3,2.5775,-0.87,1.97,5.659697,-79.26,-80.73
1730041411248602672,1730041411248336315,3,2.5775,-0.87,1.97,5.584651333333333,-79.54,-80.72
1730041411348508728,1730041411348288059,3,2.5775,-0.87,1.97,5.5346210000000005,-79.8,-80.73
1730041411447600257,1730041411447259902,3,2.5775,-0.87,1.97,5.4720830000000005,-79.21,-80.66
1730041411547465500,1730041411547223091,3,2.5775,-0.87,1.97,5.422052666666666,-79.53,-81.76
1730041411647537594,1730041411647298812,3,2.5775,-0.87,1.97,5.365768333333334,-79.1,-80.61
1730041411847443733,1730041411847174167,3,2.5775,-0.87,1.97,5.328245333333332,-78.86,-81.68
1730041411947702304,1730041411947301387,3,2.5775,-0.87,1.97,5.284468666666666,-79.32,-80.82
1730041412047944039,1730041412047512531,3,2.5775,-0.87,1.97,5.215676666666666,-79.65,-80.79
1730041412147396343,1730041412147275447,3,2.5775,-0.87,1.97,5.134377333333333,-79.48,-80.43
1730041412247518966,1730041412247304439,3,2.5775,-0.87,1.97,5.065585333333334,-78.99,-80.55
1730041412347630557,1730041412347360610,3,2.5775,-0.87,1.97,5.04057,-78.81,-80.91
1730041412447363083,1730041412447183370,3,2.5775,-0.87,1.97,5.009301,-78.74,-80.98
1730041412548784599,1730041412548317909,3,2.5775,-0.87,1.97,4.959270666666668,-79.11,-82.55
1730041412648796983,1730041412648502111,3,2.5775,-0.87,1.97,4.871717666666666,-78.95,-80.66
1730041412748092469,1730041412747904539,3,2.5775,-0.87,1.97,4.802925666666667,-79.37,-80.43
1730041412848328519,1730041412848195552,3,2.5775,-0.87,1.97,4.72788,-78.92,-80.7
1730041412948747836,1730041412948556900,3,2.5775,-0.87,1.97,4.6778493333333335,-78.55,-80.6
1730041413048390448,1730041413048113584,3,2.5775,-0.87,1.97,4.627819,-78.51,-81.37
1730041413147644244,1730041413147186517,3,2.5775,-0.87,1.97,4.577788333333333,-79.2,-81.06
1730041413247554779,1730041413247231006,3,2.5775,-0.87,1.97,4.508996666666667,-78.5,-80.44
1730041413346531515,1730041413346025943,3,2.5775,-0.87,1.97,4.440204666666667,-79.51,-80.96
1730041413446608404,1730041413446010589,3,2.5775,-0.87,1.97,4.365158999999999,-79.31,-80.88
1730041413546345273,1730041413546015501,3,2.5775,-0.87,1.97,4.327636,-78.69,-80.57
1730041413646521979,1730041413646051883,3,2.5775,-0.87,1.97,4.258844,-78.72,-80.92
1730041413746826613,1730041413746044635,3,2.5775,-0.87,1.97,4.196306,-78.85,-80.9
1730041413846439400,1730041413846018075,3,2.5775,-0.87,1.97,4.121260333333333,-79.06,-80.93
1730041413946670388,1730041413946064472,3,2.5775,-0.87,1.97,4.052468666666667,-78.99,-81.07
1730041414047757165,1730041414047328948,3,2.5775,-0.87,1.97,4.008692,-78.9,-80.7
1730041414247849564,1730041414247608661,3,2.5775,-0.87,1.97,3.946154,-78.91,-81.04
1730041414647361270,1730041414647242784,3,2.5775,-0.87,1.97,3.7335243333333334,-79.0,-80.81
1730041414748987590,1730041414748805046,3,2.5775,-0.87,1.97,3.689747666666667,-79.13,-80.93
1730041414846423874,1730041414846016407,3,2.5775,-0.87,1.97,3.6709860000000005,-78.54,-80.55
1730041414946426130,1730041414946042060,3,2.5775,-0.87,1.97,3.6397166666666667,-79.06,-80.93
1730041415047565810,1730041415047486305,3,2.5775,-0.87,1.97,3.6084476666666667,-78.68,-80.77
1730041415148381338,1730041415147384643,3,2.5775,-0.87,1.97,3.5834326666666665,-79.16,-80.77
1730041415246195759,1730041415246009826,3,2.5775,-0.87,1.97,3.558417666666667,-79.4,-80.66
1730041415346341136,1730041415345997810,3,2.5775,-0.87,1.97,3.552163666666667,-78.95,-80.53
1730041415446627391,1730041415446051359,3,2.5775,-0.87,1.97,3.533402,-79.35,-80.78
1730041415546352972,1730041415545995235,3,2.5775,-0.87,1.97,3.533402,-79.21,-80.65
1730041415646405479,1730041415645993947,3,2.5775,-0.87,1.97,3.5083870000000004,-79.02,-81.1
1730041415747255169,1730041415747050762,3,2.5775,-0.87,1.97,3.4958793333333333,-79.28,-80.56
1730041415847742264,1730041415847300052,3,2.5775,-0.87,1.97,3.477117666666667,-79.48,-81.03
1730041415948730785,1730041415948623657,3,2.5775,-0.87,1.97,3.470863666666667,-79.21,-80.62
1730041416048843239,1730041416048568248,3,2.5775,-0.87,1.97,3.470863666666667,-79.67,-81.01
1730041416148546735,1730041416148385524,3,2.5775,-0.87,1.97,3.4646100000000004,-79.0,-80.61
1730041416249289064,1730041416248952865,3,2.5775,-0.87,1.97,3.477117666666667,-79.5,-81.33
1730041416349002825,1730041416348759651,3,2.5775,-0.87,1.97,3.470864,-79.33,-81.03
1730041416448445821,1730041416448134422,3,2.5775,-0.87,1.97,3.4833716666666668,-79.38,-80.66
1730041416548450725,1730041416548199653,3,2.5775,-0.87,1.97,3.502133,-80.15,-81.31
1730041416648627619,1730041416648325920,3,2.5775,-0.87,1.97,3.533402,-79.45,-80.76
1730041416748256450,1730041416747969388,3,2.5775,-0.87,1.97,3.5584173333333333,-79.36,-81.13
1730041416848955864,1730041416848604440,3,2.5775,-0.87,1.97,3.5896863333333333,-79.66,-81.14
1730041416949200700,1730041416948961496,3,2.5775,-0.87,1.97,3.6147016666666665,-79.23,-80.83
1730041417049063180,1730041417048719167,3,2.5775,-0.87,1.97,3.6647319999999994,-79.06,-80.5
1730041417148762438,1730041417148156166,3,2.5775,-0.87,1.97,3.708508666666667,-79.23,-80.63
1730041417248151496,1730041417247951984,3,2.5775,-0.87,1.97,3.7585390000000003,-79.22,-81.01
1730041417348057269,1730041417347843170,3,2.5775,-0.87,1.97,3.8023156666666664,-79.01,-80.49
1730041417448257483,1730041417448014497,3,2.5775,-0.87,1.97,3.852346333333333,-79.56,-81.1
1730041417548171167,1730041417547954082,3,2.5775,-0.87,1.97,3.914884666666667,-78.88,-80.65
1730041417649110301,1730041417648771047,3,2.5775,-0.87,1.97,3.964915,-79.58,-80.72
1730041417749481723,1730041417749182224,3,2.5775,-0.87,1.97,4.027453,-78.89,-80.86
1730041417848372968,1730041417848138093,3,2.5775,-0.87,1.97,4.0837373333333336,-78.54,-81.14
1730041417948168807,1730041417948015928,3,2.5775,-0.87,1.97,4.152529333333334,-78.99,-80.91
1730041418048403444,1730041418048152208,3,2.5775,-0.87,1.97,4.227575,-78.97,-80.78
1730041418148650994,1730041418148211479,3,2.5775,-0.87,1.97,4.296366666666667,-78.62,-80.81
1730041418248087613,1730041418247946739,3,2.5775,-0.87,1.97,4.358905,-78.51,-80.74
1730041418348171161,1730041418347989320,3,2.5775,-0.87,1.97,4.427696999999999,-78.95,-81.02
1730041418448440262,1730041418448246717,3,2.5775,-0.87,1.97,4.515250333333333,-78.92,-80.61
1730041418548438665,1730041418548297166,3,2.5775,-0.87,1.97,4.609057333333333,-78.99,-80.7
1730041418648514276,1730041418648283958,3,2.5775,-0.87,1.97,4.702864666666667,-78.73,-80.84
1730041418748258204,1730041418748013973,3,2.5775,-0.87,1.97,4.771656666666666,-78.58,-80.69
