%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1732085150570712154,1732085150570451021,9,2.5775,-0.87,0.5,6.191270666666667,-80.16,-81.12
1732085150671066440,1732085150670471191,9,2.5775,-0.87,0.5,6.203778333333333,-79.91,-80.75
1732085150770836497,1732085150770494461,9,2.5775,-0.87,0.5,6.191271,-79.77,-80.62
1732085150870939675,1732085150870502233,9,2.5775,-0.87,0.5,6.178763666666666,-80.34,-81.13
1732085150970757378,1732085150970463275,9,2.5775,-0.87,0.5,6.178763666666666,-80.04,-81.0
1732085151070918900,1732085151070525646,9,2.5775,-0.87,0.5,6.185017333333334,-79.7,-80.78
1732085151172048956,1732085151171869993,9,2.5775,-0.87,0.5,6.203778666666667,-79.84,-80.89
1732085151271984977,1732085151271770954,9,2.5775,-0.87,0.5,6.203778666666667,-80.21,-80.9
1732085151372063915,1732085151371677160,9,2.5775,-0.87,0.5,6.197525,-79.77,-80.61
1732085151471909311,1732085151471601486,9,2.5775,-0.87,0.5,6.191271,-80.18,-80.87
1732085151572861849,1732085151572388410,9,2.5775,-0.87,0.5,6.197524666666666,-80.1,-80.54
1732085151672011296,1732085151671738386,9,2.5775,-0.87,0.5,6.197524666666666,-79.67,-80.43
1732085151772569730,1732085151772107124,9,2.5775,-0.87,0.5,6.197524666666666,-80.29,-80.89
1732085151872156204,1732085151871795177,9,2.5775,-0.87,0.5,6.185017333333334,-79.77,-81.1
1732085151971889860,1732085151971646308,9,2.5775,-0.87,0.5,6.197524666666666,-79.39,-80.5
1732085152072745163,1732085152072372913,9,2.5775,-0.87,0.5,6.191271,-80.15,-81.4
1732085152172195270,1732085152171789884,9,2.5775,-0.87,0.5,6.178763333333333,-79.75,-80.91
1732085152270914598,1732085152270523071,9,2.5775,-0.87,0.5,6.1600019999999995,-79.84,-80.55
1732085152370784852,1732085152370448827,9,2.5775,-0.87,0.5,6.153748333333333,-79.85,-80.7
1732085152470806367,1732085152470501899,9,2.5775,-0.87,0.5,6.185017333333334,-79.81,-80.62
1732085152570898117,1732085152570513725,9,2.5775,-0.87,0.5,6.191271333333333,-79.97,-80.95
1732085152670851207,1732085152670456647,9,2.5775,-0.87,0.5,6.210032666666667,-79.73,-80.7
1732085152770975219,1732085152770478248,9,2.5775,-0.87,0.5,6.203778666666667,-79.61,-80.7
1732085152870684196,1732085152870473623,9,2.5775,-0.87,0.5,6.2225399999999995,-79.58,-80.61
1732085152970851014,1732085152970479726,9,2.5775,-0.87,0.5,6.216285999999999,-79.77,-80.54
1732085153070774460,1732085153070431232,9,2.5775,-0.87,0.5,6.203778666666666,-80.21,-80.8
1732085153170898359,1732085153170484304,9,2.5775,-0.87,0.5,6.197524666666666,-80.03,-80.94
1732085153270923249,1732085153270523071,9,2.5775,-0.87,0.5,6.210032333333333,-79.67,-80.55
1732085153370803051,1732085153370493412,9,2.5775,-0.87,0.5,6.222539666666667,-79.57,-80.76
1732085153470849368,1732085153470472335,9,2.5775,-0.87,0.5,6.210032333333333,-80.37,-81.28
1732085153972771747,1732085153972588062,9,2.5775,-0.87,0.5,6.222539666666667,-81.14,-81.2
1732085154072782245,1732085154072646617,9,2.5775,-0.87,0.5,6.216286,-80.03,-80.98
