%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730041400649204594,1730041400649077653,5,-0.37,-0.13,1.39,4.5902959999999995,-78.68,-80.46
1730041400749880503,1730041400749200344,5,-0.37,-0.13,1.39,4.590296,-79.22,-80.82
1730041400849076839,1730041400848938703,5,-0.37,-0.13,1.39,4.596550000000001,-78.96,-80.59
1730041400947576444,1730041400947289705,5,-0.37,-0.13,1.39,4.6028036666666665,-78.78,-80.68
1730041401047820850,1730041401047418594,5,-0.37,-0.13,1.39,4.577788666666667,-78.66,-80.38
1730041401146455098,1730041401146015644,5,-0.37,-0.13,1.39,4.552773333333334,-78.83,-80.72
1730041401246452176,1730041401246032238,5,-0.37,-0.13,1.39,4.552773333333334,-78.64,-80.42
1730041401346744365,1730041401346088647,5,-0.37,-0.13,1.39,4.577788333333333,-78.96,-80.79
1730041401446482808,1730041401446010589,5,-0.37,-0.13,1.39,4.577788333333333,-78.57,-80.49
1730041401546448329,1730041401546010732,5,-0.37,-0.13,1.39,4.596549666666667,-79.01,-80.65
1730041401646304619,1730041401646002292,5,-0.37,-0.13,1.39,4.584042,-78.49,-80.53
1730041401747626524,1730041401747258901,5,-0.37,-0.13,1.39,4.609057333333333,-78.78,-80.35
1730041401947522854,1730041401947278261,5,-0.37,-0.13,1.39,4.6215649999999995,-79.04,-80.71
1730041402047520151,1730041402047239065,5,-0.37,-0.13,1.39,4.6215649999999995,-78.59,-80.42
1730041402147493869,1730041402147222757,5,-0.37,-0.13,1.39,4.627818666666667,-79.83,-80.75
1730041402247770262,1730041402247554302,5,-0.37,-0.13,1.39,4.621565,-79.35,-80.77
1730041402348446887,1730041402348169565,5,-0.37,-0.13,1.39,4.6153113333333335,-79.23,-80.67
1730041402449101875,1730041402448897123,5,-0.37,-0.13,1.39,4.602803666666667,-78.88,-80.78
1730041402547962136,1730041402547423839,5,-0.37,-0.13,1.39,4.5902959999999995,-79.07,-80.67
1730041402647858149,1730041402647552967,5,-0.37,-0.13,1.39,4.596549666666666,-78.66,-80.53
1730041402747793507,1730041402747528553,5,-0.37,-0.13,1.39,4.5902959999999995,-78.54,-80.59
1730041402847473530,1730041402847198247,5,-0.37,-0.13,1.39,4.565280666666666,-78.66,-80.83
1730041402948013188,1730041402947561502,5,-0.37,-0.13,1.39,4.590296,-79.01,-80.49
1730041403346307712,1730041403346028804,5,-0.37,-0.13,1.39,4.584042,-78.84,-80.5
1730041403446477199,1730041403446052074,5,-0.37,-0.13,1.39,4.615311,-78.87,-80.94
1730041403546544484,1730041403546063184,5,-0.37,-0.13,1.39,4.571534333333333,-78.78,-80.55
1730041403646369370,1730041403646020174,5,-0.37,-0.13,1.39,4.565280666666667,-78.92,-80.78
1730041403746343170,1730041403746047973,5,-0.37,-0.13,1.39,4.546519333333333,-78.56,-80.38
1730041403849011767,1730041403848827838,5,-0.37,-0.13,1.39,4.565280666666667,-78.83,-80.53
1730041403948981848,1730041403948728561,5,-0.37,-0.13,1.39,4.577788333333333,-79.4,-80.68
1730041404046292993,1730041404046021461,5,-0.37,-0.13,1.39,4.5902959999999995,-78.58,-80.67
1730041404146409299,1730041404146080970,5,-0.37,-0.13,1.39,4.5715346666666665,-78.49,-80.7
1730041404246470696,1730041404246106863,5,-0.37,-0.13,1.39,4.552773333333334,-78.67,-80.94
1730041404346406174,1730041404346049785,5,-0.37,-0.13,1.39,4.546519333333333,-78.92,-80.68
1730041404446541855,1730041404446067094,5,-0.37,-0.13,1.39,4.571534666666667,-78.71,-80.51
1730041404546443168,1730041404546088218,5,-0.37,-0.13,1.39,4.584041999999999,-78.63,-80.66
1730041404646491940,1730041404646043539,5,-0.37,-0.13,1.39,4.584041999999999,-79.25,-80.77
1730041404746404571,1730041404746033668,5,-0.37,-0.13,1.39,4.590295666666667,-78.74,-80.49
1730041404846379390,1730041404846025705,5,-0.37,-0.13,1.39,4.590295666666667,-78.66,-80.39
1730041404946449752,1730041404946052789,5,-0.37,-0.13,1.39,4.577788333333333,-78.42,-80.58
1730041405147734842,1730041405147408962,5,-0.37,-0.13,1.39,4.565280666666667,-79.43,-80.61
1730041405246293653,1730041405246023178,5,-0.37,-0.13,1.39,4.571534666666667,-78.98,-80.55
1730041405648248206,1730041405648049592,5,-0.37,-0.13,1.39,4.6153113333333335,-78.77,-80.83
1730041406147267892,1730041406147171735,5,-0.37,-0.13,1.39,4.571534333333333,-78.96,-80.62
1730041406247446240,1730041406247340917,5,-0.37,-0.13,1.39,4.552773,-79.12,-81.09
1730041406347846478,1730041406347615718,5,-0.37,-0.13,1.39,4.565280666666667,-78.62,-80.62
1730041406446638549,1730041406446244239,5,-0.37,-0.13,1.39,4.577788333333333,-78.93,-81.21
1730041406548404141,1730041406548190116,5,-0.37,-0.13,1.39,4.596549666666666,-78.96,-80.49
1730041406647245346,1730041406647131919,5,-0.37,-0.13,1.39,4.6028036666666665,-78.99,-80.82
1730041406746795019,1730041406746170043,5,-0.37,-0.13,1.39,4.609057333333333,-78.82,-80.41
1730041406846364612,1730041406846068143,5,-0.37,-0.13,1.39,4.6028036666666665,-79.09,-80.82
1730041406946481553,1730041406946046352,5,-0.37,-0.13,1.39,4.571534666666667,-78.73,-81.2
1730041407046304528,1730041407046033382,5,-0.37,-0.13,1.39,4.552773333333334,-79.03,-81.08
1730041407146596579,1730041407146067619,5,-0.37,-0.13,1.39,4.5590269999999995,-78.47,-80.5
