%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730017526477475042,1730017526477153539,9,-1.79,0.87,0.5,5.459575,-78.5,-80.47
1730017526577574117,1730017526577269554,9,-1.79,0.87,0.5,5.465828999999999,-78.67,-81.12
1730017526677871983,1730017526677534580,9,-1.79,0.87,0.5,5.453321333333334,-78.57,-80.45
1730017526777880316,1730017526777682065,9,-1.79,0.87,0.5,5.447067666666666,-78.5,-80.42
1730017526876495093,1730017526876076459,9,-1.79,0.87,0.5,5.447067666666666,-78.67,-80.45
1730017526976569311,1730017526976082324,9,-1.79,0.87,0.5,5.447067666666666,-78.94,-81.19
1730017527076616627,1730017527076090574,9,-1.79,0.87,0.5,5.4595753333333334,-79.03,-81.51
1730017527176528760,1730017527176069259,9,-1.79,0.87,0.5,5.465829,-79.07,-81.4
1730017527276389309,1730017527276065587,9,-1.79,0.87,0.5,5.490844333333334,-78.97,-81.65
1730017527376610877,1730017527376171350,9,-1.79,0.87,0.5,5.484590333333333,-79.16,-81.06
1730017527476571554,1730017527476092338,9,-1.79,0.87,0.5,5.478336666666666,-78.75,-81.38
1730017527576645540,1730017527576097011,9,-1.79,0.87,0.5,5.465829,-78.73,-80.89
1730017527676526266,1730017527676066637,9,-1.79,0.87,0.5,5.465829,-78.69,-80.57
1730017527776708755,1730017527776106834,9,-1.79,0.87,0.5,5.447067333333333,-78.37,-80.68
1730017527876520296,1730017527876075029,9,-1.79,0.87,0.5,5.447067333333333,-78.61,-80.39
1730017527976596652,1730017527976088523,9,-1.79,0.87,0.5,5.440813666666666,-79.17,-81.17
1730017528076546355,1730017528076092004,9,-1.79,0.87,0.5,5.4595753333333334,-79.24,-80.9
1730017528176575477,1730017528176063776,9,-1.79,0.87,0.5,5.4595753333333334,-78.64,-80.54
1730017528279130904,1730017528278979301,9,-1.79,0.87,0.5,5.478336666666667,-78.76,-80.92
1730017528379015559,1730017528378812789,9,-1.79,0.87,0.5,5.465828999999999,-78.82,-81.09
1730017528479449924,1730017528479228019,9,-1.79,0.87,0.5,5.478336666666667,-78.6,-80.72
1730017528579901823,1730017528579501628,9,-1.79,0.87,0.5,5.4595753333333334,-78.61,-80.71
1730017528679360416,1730017528679116010,9,-1.79,0.87,0.5,5.465829,-79.24,-81.17
1730017528779544951,1730017528779229164,9,-1.79,0.87,0.5,5.4595753333333334,-78.89,-80.69
1730017528879522805,1730017528879199743,9,-1.79,0.87,0.5,5.484590666666667,-79.2,-81.35
1730017528976469938,1730017528976072788,9,-1.79,0.87,0.5,5.490844666666667,-78.58,-80.96
1730017529076515181,1730017529076058387,9,-1.79,0.87,0.5,5.478337,-78.71,-80.56
1730017529176572795,1730017529176072359,9,-1.79,0.87,0.5,5.453321666666667,-78.91,-81.03
1730017529278985823,1730017529278832912,9,-1.79,0.87,0.5,5.43456,-79.27,-80.9
1730017529379542396,1730017529379380226,9,-1.79,0.87,0.5,5.440813666666667,-78.97,-80.97
1730017529479339194,1730017529479223251,9,-1.79,0.87,0.5,5.447067333333333,-78.99,-81.1
1730017529576402739,1730017529576074600,9,-1.79,0.87,0.5,5.472082666666666,-78.72,-80.96
1730017529676297081,1730017529676101446,9,-1.79,0.87,0.5,5.4908443333333325,-78.59,-80.83
1730017529777471151,1730017529776063919,9,-1.79,0.87,0.5,5.490844333333334,-78.54,-80.53
1730017529877600536,1730017529877287387,9,-1.79,0.87,0.5,5.497098333333334,-78.68,-81.23
1730017529976599367,1730017529976299762,9,-1.79,0.87,0.5,5.490844333333334,-78.85,-81.22
1730017530077990756,1730017530077678680,9,-1.79,0.87,0.5,5.490844333333334,-78.73,-80.82
1730017530177959175,1730017530177748680,9,-1.79,0.87,0.5,5.472082666666666,-79.05,-80.61
1730017530278608068,1730017530278381109,9,-1.79,0.87,0.5,5.459575,-78.45,-80.48
1730017530377870287,1730017530377678155,9,-1.79,0.87,0.5,5.459575,-78.71,-80.77
1730017530476552818,1730017530476042747,9,-1.79,0.87,0.5,5.453321333333332,-78.4,-80.63
1730017530578015473,1730017530577511072,9,-1.79,0.87,0.5,5.4595753333333334,-78.59,-80.47
1730017530677698237,1730017530677403211,9,-1.79,0.87,0.5,5.453321666666667,-78.82,-80.64
1730017530778634695,1730017530778476715,9,-1.79,0.87,0.5,5.453321666666667,-78.78,-80.77
1730017531276607877,1730017531276069641,9,-1.79,0.87,0.5,5.459575,-78.77,-80.49
1730017531376446384,1730017531376075506,9,-1.79,0.87,0.5,5.459575,-78.97,-80.97
1730017531476345969,1730017531476073503,9,-1.79,0.87,0.5,5.472082666666666,-78.83,-81.59
1730017531578886420,1730017531578680753,9,-1.79,0.87,0.5,5.478336666666666,-79.05,-80.54
1730017531678282843,1730017531678190708,9,-1.79,0.87,0.5,5.484590666666667,-78.7,-80.94
1730017531779113817,1730017531778903961,9,-1.79,0.87,0.5,5.484590666666667,-78.67,-80.46
1730017531879325351,1730017531878988504,9,-1.79,0.87,0.5,5.465829,-78.88,-80.87
1730017531978391197,1730017531978209018,9,-1.79,0.87,0.5,5.453321333333332,-79.03,-80.91
1730017532078980322,1730017532078774690,9,-1.79,0.87,0.5,5.43456,-78.91,-80.48
