%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733053256750998064,1733053256750827312,5,-0.36,-0.46,1.97,3.8586006666666663,-79.06,-80.62
1733053256850708460,1733053256850601911,5,-0.36,-0.46,1.97,3.8460929999999998,-79.26,-80.8
1733053256948268676,1733053256947883367,5,-0.36,-0.46,1.97,3.8711083333333334,-79.32,-81.5
1733053257048397509,1733053257047889471,5,-0.36,-0.46,1.97,3.852346666666667,-79.43,-80.92
1733053257149272523,1733053257149101734,5,-0.36,-0.46,1.97,3.839839,-79.25,-80.59
1733053257249600865,1733053257249263525,5,-0.36,-0.46,1.97,3.8210773333333337,-78.92,-80.58
1733053257349325028,1733053257349133968,5,-0.36,-0.46,1.97,3.8210773333333337,-79.15,-80.79
1733053257449227091,1733053257449044704,5,-0.36,-0.46,1.97,3.814823333333333,-79.24,-81.0
1733053257550371918,1733053257550175905,5,-0.36,-0.46,1.97,3.814823333333333,-79.0,-80.41
1733053257650223940,1733053257650061607,5,-0.36,-0.46,1.97,3.7960619999999996,-79.27,-80.68
1733053257749494339,1733053257749307394,5,-0.36,-0.46,1.97,3.808569666666667,-79.14,-81.04
1733053257849726131,1733053257849348545,5,-0.36,-0.46,1.97,3.802316,-79.19,-81.27
1733053257948315275,1733053257947880268,5,-0.36,-0.46,1.97,3.8210773333333337,-79.13,-80.6
1733053258048590754,1733053258047958850,5,-0.36,-0.46,1.97,3.8273313333333334,-79.25,-81.52
1733053258150927299,1733053258150742053,5,-0.36,-0.46,1.97,3.8273313333333334,-79.18,-80.65
1733053258250687172,1733053258250522613,5,-0.36,-0.46,1.97,3.8335853333333336,-79.08,-80.46
1733053258350923291,1733053258350786447,5,-0.36,-0.46,1.97,3.814823666666667,-79.45,-81.23
1733053258450785432,1733053258450668096,5,-0.36,-0.46,1.97,3.833585,-79.82,-81.15
1733053258550751636,1733053258550586938,5,-0.36,-0.46,1.97,3.821077333333333,-79.3,-81.06
1733053258651377218,1733053258651153802,5,-0.36,-0.46,1.97,3.8273313333333334,-79.12,-80.58
1733053258750981736,1733053258750751495,5,-0.36,-0.46,1.97,3.8273313333333334,-79.39,-80.86
1733053258850964695,1733053258850707054,5,-0.36,-0.46,1.97,3.8273313333333334,-79.3,-81.16
1733053258950880027,1733053258950612306,5,-0.36,-0.46,1.97,3.846092666666667,-79.34,-81.13
1733053259051399401,1733053259051244020,5,-0.36,-0.46,1.97,3.833585,-79.04,-81.52
1733053259150360424,1733053259150107860,5,-0.36,-0.46,1.97,3.833585,-79.25,-81.05
1733053259250167994,1733053259250037431,5,-0.36,-0.46,1.97,3.833585,-79.31,-81.1
1733053259349533626,1733053259349133491,5,-0.36,-0.46,1.97,3.8273313333333334,-79.24,-81.12
1733053259449407819,1733053259449105739,5,-0.36,-0.46,1.97,3.846092666666667,-79.14,-80.81
1733053259549270418,1733053259549003362,5,-0.36,-0.46,1.97,3.8273313333333334,-78.98,-81.39
1733053259649510849,1733053259649228811,5,-0.36,-0.46,1.97,3.821077333333333,-79.34,-81.23
1733053259750538041,1733053259750208139,5,-0.36,-0.46,1.97,3.8273313333333334,-79.26,-80.98
1733053259950082683,1733053259949915170,5,-0.36,-0.46,1.97,3.839839,-79.07,-81.9
1733053260050220305,1733053260050094604,5,-0.36,-0.46,1.97,3.864854333333333,-79.19,-80.58
1733053260150962367,1733053260150858640,5,-0.36,-0.46,1.97,3.846092666666667,-79.13,-80.86
1733053260251328973,1733053260251160144,5,-0.36,-0.46,1.97,3.833585,-79.31,-81.15
1733053260351259795,1733053260351117134,5,-0.36,-0.46,1.97,3.814823666666667,-79.43,-81.31
1733053260451222001,1733053260450897932,5,-0.36,-0.46,1.97,3.821077666666667,-79.62,-81.45
1733053260550440402,1733053260550178527,5,-0.36,-0.46,1.97,3.8460929999999998,-79.13,-80.69
1733053260650469046,1733053260650330543,5,-0.36,-0.46,1.97,3.8711083333333334,-79.53,-80.78
1733053260750480317,1733053260750295639,5,-0.36,-0.46,1.97,3.8586006666666663,-79.11,-81.26
1733053260850117251,1733053260850040435,5,-0.36,-0.46,1.97,3.833585333333333,-79.55,-81.22
1733053260951105380,1733053260950858831,5,-0.36,-0.46,1.97,3.814823666666667,-79.37,-81.21
1733053261051551254,1733053261051329612,5,-0.36,-0.46,1.97,3.808569666666667,-79.19,-81.03
1733053261151099820,1733053261150936365,5,-0.36,-0.46,1.97,3.833585,-79.32,-80.94
1733053261251316831,1733053261251050710,5,-0.36,-0.46,1.97,3.839839,-79.0,-80.66
1733053261351520455,1733053261351309299,5,-0.36,-0.46,1.97,3.8586006666666663,-79.04,-80.8
1733053261451108994,1733053261450912237,5,-0.36,-0.46,1.97,3.852346666666667,-79.18,-81.99
1733053261551032927,1733053261550719261,5,-0.36,-0.46,1.97,3.833585,-79.15,-80.62
1733053261651355524,1733053261651025772,5,-0.36,-0.46,1.97,3.8398386666666666,-79.07,-80.59
1733053261751700200,1733053261751562356,5,-0.36,-0.46,1.97,3.821077333333333,-78.97,-81.53
1733053261851212297,1733053261850954771,5,-0.36,-0.46,1.97,3.833585,-78.89,-81.67
1733053261951015591,1733053261950861930,5,-0.36,-0.46,1.97,3.833585,-79.1,-80.61
1733053262051943114,1733053262051652431,5,-0.36,-0.46,1.97,3.846092666666667,-79.29,-82.08
1733053262151407492,1733053262151324510,5,-0.36,-0.46,1.97,3.846092666666667,-79.24,-80.71
1733053262251160576,1733053262251014947,5,-0.36,-0.46,1.97,3.8335850000000007,-79.27,-80.87
1733053262748320790,1733053262747930526,5,-0.36,-0.46,1.97,3.821077666666667,-79.19,-80.61
1733053262849914593,1733053262849534273,5,-0.36,-0.46,1.97,3.80857,-79.08,-81.22
1733053262949883713,1733053262949403047,5,-0.36,-0.46,1.97,3.8335853333333336,-79.3,-81.05
1733053263048341349,1733053263047948122,5,-0.36,-0.46,1.97,3.839839,-79.16,-80.88
1733053263148281231,1733053263147929668,5,-0.36,-0.46,1.97,3.871108,-79.61,-80.76
1733053263250497064,1733053263250240325,5,-0.36,-0.46,1.97,3.877361666666667,-78.95,-81.7
1733053263351058427,1733053263350907564,5,-0.36,-0.46,1.97,3.871108,-79.51,-81.23
1733053263449970473,1733053263449673414,5,-0.36,-0.46,1.97,3.852346666666667,-79.27,-81.12
1733053263549645053,1733053263549375295,5,-0.36,-0.46,1.97,3.852346666666667,-78.87,-81.7
1733053263650258224,1733053263649954319,5,-0.36,-0.46,1.97,3.833585,-79.38,-80.9
1733053263749404642,1733053263749183654,5,-0.36,-0.46,1.97,3.833585,-79.1,-80.48
1733053263849663966,1733053263849320173,5,-0.36,-0.46,1.97,3.833585,-79.31,-80.82
