%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1730017526478939636,1730017526478717088,12,-2.58,-0.87,1.97,4.315128666666666,-78.45,-81.32
1730017526579853152,1730017526579643964,12,-2.58,-0.87,1.97,4.302620999999999,-79.25,-81.34
1730017526679487834,1730017526679260969,12,-2.58,-0.87,1.97,4.302620999999999,-78.6,-81.03
1730017526779011561,1730017526778790473,12,-2.58,-0.87,1.97,4.290113333333333,-78.38,-80.53
1730017526878297747,1730017526878218650,12,-2.58,-0.87,1.97,4.2838596666666655,-78.51,-81.08
1730017526978696240,1730017526978242874,12,-2.58,-0.87,1.97,4.290113333333333,-78.57,-80.87
1730017527078649348,1730017527078350782,12,-2.58,-0.87,1.97,4.290113333333333,-78.63,-80.72
1730017527178337575,1730017527178134202,12,-2.58,-0.87,1.97,4.308874666666667,-78.87,-80.78
1730017527278343015,1730017527278192996,12,-2.58,-0.87,1.97,4.302620999999999,-78.38,-80.44
1730017527378975191,1730017527378664493,12,-2.58,-0.87,1.97,4.315128666666666,-78.52,-80.77
1730017527480150182,1730017527479795932,12,-2.58,-0.87,1.97,4.302620999999999,-78.97,-81.09
1730017527579531098,1730017527579218626,12,-2.58,-0.87,1.97,4.308874666666667,-78.6,-80.99
1730017527678256933,1730017527678099155,12,-2.58,-0.87,1.97,4.308874666666667,-78.92,-80.87
1730017527778473900,1730017527778238058,12,-2.58,-0.87,1.97,4.302620999999999,-78.58,-80.59
1730017527878428521,1730017527878222703,12,-2.58,-0.87,1.97,4.308874666666666,-78.73,-80.9
1730017527978781229,1730017527978418588,12,-2.58,-0.87,1.97,4.296367,-78.8,-81.06
1730017528078975605,1730017528078706741,12,-2.58,-0.87,1.97,4.308874333333333,-78.37,-80.45
1730017528178298568,1730017528178019762,12,-2.58,-0.87,1.97,4.315128333333333,-78.34,-81.06
1730017528277674597,1730017528277402162,12,-2.58,-0.87,1.97,4.315128333333333,-78.9,-81.23
1730017528377435545,1730017528377284288,12,-2.58,-0.87,1.97,4.302620999999999,-78.54,-80.57
1730017528477502269,1730017528477226018,12,-2.58,-0.87,1.97,4.2838596666666655,-78.13,-80.51
1730017528577763603,1730017528577389240,12,-2.58,-0.87,1.97,4.296367333333333,-78.64,-80.66
1730017528677637039,1730017528677356719,12,-2.58,-0.87,1.97,4.302620999999999,-78.72,-80.97
1730017528777716086,1730017528777381658,12,-2.58,-0.87,1.97,4.308874666666667,-78.19,-80.79
1730017528877675886,1730017528877461433,12,-2.58,-0.87,1.97,4.296367,-78.88,-81.13
1730017528978346505,1730017528977963209,12,-2.58,-0.87,1.97,4.321382333333333,-78.7,-80.62
1730017529177850667,1730017529177611589,12,-2.58,-0.87,1.97,4.352651333333333,-79.56,-80.85
1730017529276467920,1730017529276060819,12,-2.58,-0.87,1.97,4.358905,-79.02,-81.16
1730017529377723908,1730017529377575159,12,-2.58,-0.87,1.97,4.327635999999999,-78.74,-80.62
1730017529477486470,1730017529477344989,12,-2.58,-0.87,1.97,4.296367,-78.37,-80.9
1730017529578658226,1730017529578366279,12,-2.58,-0.87,1.97,4.296366999999999,-78.53,-80.77
1730017529677678283,1730017529677381992,12,-2.58,-0.87,1.97,4.302620666666667,-78.15,-80.48
1730017529778091492,1730017529777613639,12,-2.58,-0.87,1.97,4.296367,-78.87,-80.59
1730017529876442949,1730017529876085758,12,-2.58,-0.87,1.97,4.277605666666666,-78.49,-80.75
1730017529978535719,1730017529978091001,12,-2.58,-0.87,1.97,4.302620666666667,-79.15,-81.12
1730017530078919156,1730017530078689098,12,-2.58,-0.87,1.97,4.333889666666667,-78.3,-80.7
1730017530179042435,1730017530178754568,12,-2.58,-0.87,1.97,4.340143666666667,-78.64,-80.81
1730017530279274510,1730017530279145002,12,-2.58,-0.87,1.97,4.340143666666667,-79.12,-80.94
1730017530378984822,1730017530378741025,12,-2.58,-0.87,1.97,4.315128666666666,-78.52,-80.54
1730017530477640725,1730017530477456331,12,-2.58,-0.87,1.97,4.308874666666666,-78.8,-80.68
1730017530576572021,1730017530576076507,12,-2.58,-0.87,1.97,4.296367,-78.19,-80.52
1730017530678514200,1730017530678323984,12,-2.58,-0.87,1.97,4.265097666666667,-79.17,-80.82
1730017530779914009,1730017530779349565,12,-2.58,-0.87,1.97,4.258844,-79.58,-80.96
1730017530876560352,1730017530876065015,12,-2.58,-0.87,1.97,4.271351666666667,-78.91,-80.73
