%time,field.header.seq,field.header.stamp,field.header.frame_id,field.status.status,field.status.service,field.latitude,field.longitude,field.altitude,field.position_covariance0,field.position_covariance1,field.position_covariance2,field.position_covariance3,field.position_covariance4,field.position_covariance5,field.position_covariance6,field.position_covariance7,field.position_covariance8,field.position_covariance_type
1730017526684033588,27644,1730017526625169679,gps,2,0,37.5551406,127.0454556,50.043,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017526808413182,27645,1730017526750169681,gps,2,0,37.5551405,127.0454556,50.050000000000004,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017526933644360,27646,1730017526875169684,gps,2,0,37.5551404,127.0454556,50.057,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017527062320106,27647,1730017527000169686,gps,2,0,37.5551405,127.0454556,50.049,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017527185155080,27648,1730017527125169689,gps,2,0,37.5551405,127.0454556,50.047000000000004,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017527310291936,27649,1730017527250169691,gps,2,0,37.5551405,127.0454556,50.056000000000004,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017527430072229,27650,1730017527375169693,gps,2,0,37.5551404,127.0454554,50.038000000000004,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017527560428701,27651,1730017527500169696,gps,2,0,37.5551403,127.0454554,50.024,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017527684631593,27652,1730017527625169698,gps,2,0,37.5551404,127.0454554,50.022,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017527808695102,27653,1730017527750169701,gps,2,0,37.5551404,127.0454554,50.011,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017527932949638,27654,1730017527875169703,gps,2,0,37.5551404,127.0454553,50.001,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017528061559617,27655,1730017528000169706,gps,2,0,37.5551405,127.0454554,49.998,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017528183003790,27656,1730017528125169708,gps,2,0,37.5551405,127.0454553,50.001,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00028900000000000003,2
1730017528307168291,27657,1730017528250169711,gps,2,0,37.5551404,127.0454553,49.998,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017528440631983,27658,1730017528375169713,gps,2,0,37.5551404,127.0454554,50.018,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017528559468781,27659,1730017528500169715,gps,2,0,37.5551404,127.04545549999999,50.031,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017528685126786,27660,1730017528625169718,gps,2,0,37.5551404,127.04545569999999,50.048,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017528809501118,27661,1730017528750169720,gps,2,0,37.5551403,127.0454556,50.055,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00032399999999999996,2
1730017528933376726,27662,1730017528875169722,gps,2,0,37.5551403,127.0454558,50.085,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00044100000000000004,2
1730017529063704216,27663,1730017529000169725,gps,2,0,37.5551403,127.0454558,50.104,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.000529,2
1730017529183569629,27664,1730017529125169727,gps,2,0,37.5551404,127.0454558,50.086,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.000576,2
1730017529312071240,27665,1730017529250169730,gps,2,0,37.5551403,127.0454556,50.069,0.000225,0.0,0.0,0.0,0.000225,0.0,0.0,0.0,0.000529,2
1730017529434886300,27666,1730017529375169732,gps,2,0,37.5551404,127.04545569999999,50.066,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00044100000000000004,2
1730017529559680680,27667,1730017529500169735,gps,2,0,37.5551403,127.0454556,50.036,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00044100000000000004,2
1730017529683581019,27668,1730017529625169737,gps,2,0,37.5551403,127.04545549999999,50.035000000000004,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00044100000000000004,2
1730017529808782013,27669,1730017529750169740,gps,2,0,37.5551402,127.0454554,50.023,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00048399999999999995,2
1730017529934144294,27670,1730017529875169742,gps,2,0,37.5551403,127.04545549999999,50.034,0.00019600000000000002,0.0,0.0,0.0,0.00019600000000000002,0.0,0.0,0.0,0.00048399999999999995,2
