%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1733129523610195333,1733129523609978199,5,-0.37,-0.13,1.39,4.565281,-79.85,-80.7
1733129523710189082,1733129523710019350,5,-0.37,-0.13,1.39,4.577788333333333,-79.37,-81.0
1733129523810035164,1733129523809905767,5,-0.37,-0.13,1.39,4.571534666666666,-78.94,-80.39
1733129523910228176,1733129523910044193,5,-0.37,-0.13,1.39,4.559027,-79.34,-80.73
1733129524009947957,1733129524009764194,5,-0.37,-0.13,1.39,4.5590269999999995,-79.01,-80.52
1733129524109223450,1733129524108958959,5,-0.37,-0.13,1.39,4.5902959999999995,-78.7,-80.48
1733129524209699275,1733129524209549427,5,-0.37,-0.13,1.39,4.596549666666666,-79.29,-80.82
1733129524308020922,1733129524307618618,5,-0.37,-0.13,1.39,4.5902959999999995,-78.9,-80.35
1733129524408018522,1733129524407620191,5,-0.37,-0.13,1.39,4.577788333333333,-79.11,-80.81
1733129524508784281,1733129524507617473,5,-0.37,-0.13,1.39,4.571534666666667,-79.33,-80.5
1733129524608233837,1733129524607673883,5,-0.37,-0.13,1.39,4.590296,-79.33,-80.66
1733129524708000729,1733129524707621812,5,-0.37,-0.13,1.39,4.577788333333333,-79.31,-80.91
1733129524807911635,1733129524807612657,5,-0.37,-0.13,1.39,4.584042,-78.85,-80.45
1733129524910440378,1733129524910358190,5,-0.37,-0.13,1.39,4.559027,-79.18,-80.65
1733129525009841979,1733129525009644508,5,-0.37,-0.13,1.39,4.5840423333333336,-79.44,-80.57
1733129525110077864,1733129525109814882,5,-0.37,-0.13,1.39,4.609057666666667,-78.96,-80.42
1733129525209817843,1733129525209575414,5,-0.37,-0.13,1.39,4.6340726666666665,-78.93,-80.45
1733129525307919853,1733129525307627439,5,-0.37,-0.13,1.39,4.627818666666667,-79.44,-80.67
1733129525407992121,1733129525407561540,5,-0.37,-0.13,1.39,4.5902959999999995,-79.29,-80.92
1733129525508099424,1733129525507661104,5,-0.37,-0.13,1.39,4.559027,-79.31,-80.69
1733129525609730682,1733129525609513282,5,-0.37,-0.13,1.39,4.5277579999999995,-79.1,-80.75
1733129525710075070,1733129525709804058,5,-0.37,-0.13,1.39,4.534011666666667,-78.84,-80.37
1733129525810308894,1733129525809921264,5,-0.37,-0.13,1.39,4.552773,-79.01,-80.56
1733129525910160432,1733129525909880638,5,-0.37,-0.13,1.39,4.559027,-78.96,-80.48
1733129526010005487,1733129526009709596,5,-0.37,-0.13,1.39,4.559027,-78.83,-80.4
1733129526110158438,1733129526109999656,5,-0.37,-0.13,1.39,4.546519666666666,-79.05,-80.45
1733129526209943543,1733129526209849596,5,-0.37,-0.13,1.39,4.5715346666666665,-79.35,-80.79
1733129526310090163,1733129526309947967,5,-0.37,-0.13,1.39,4.5840423333333336,-79.48,-80.68
1733129526409906889,1733129526409813642,5,-0.37,-0.13,1.39,4.6028036666666665,-79.01,-80.51
1733129526510060595,1733129526509665727,5,-0.37,-0.13,1.39,4.59655,-79.04,-80.43
1733129526610247201,1733129526610125064,5,-0.37,-0.13,1.39,4.59655,-79.16,-80.79
1733129526708965236,1733129526708862066,5,-0.37,-0.13,1.39,4.59655,-79.05,-80.63
1733129526809350419,1733129526809023857,5,-0.37,-0.13,1.39,4.6028036666666665,-79.3,-80.8
1733129526909361999,1733129526909035921,5,-0.37,-0.13,1.39,4.6215649999999995,-80.27,-80.84
1733129527009395903,1733129527008738040,5,-0.37,-0.13,1.39,4.615311,-79.06,-80.85
1733129527109284394,1733129527108897209,5,-0.37,-0.13,1.39,4.609057333333333,-78.92,-80.51
1733129527209205000,1733129527209006309,5,-0.37,-0.13,1.39,4.5902959999999995,-79.12,-80.71
1733129527309203551,1733129527308856725,5,-0.37,-0.13,1.39,4.6028036666666665,-79.22,-80.75
1733129527407908635,1733129527407594919,5,-0.37,-0.13,1.39,4.6153113333333335,-79.2,-80.54
1733129527509180106,1733129527508858919,5,-0.37,-0.13,1.39,4.6215649999999995,-79.45,-81.11
1733129527608968517,1733129527608762264,5,-0.37,-0.13,1.39,4.59655,-78.9,-80.57
1733129527709144008,1733129527708980321,5,-0.37,-0.13,1.39,4.5840423333333336,-78.99,-80.52
1733129527809537434,1733129527809351444,5,-0.37,-0.13,1.39,4.5840423333333336,-79.33,-80.46
