%time,field.stamp,field.id,field.x,field.y,field.z,field.distanceFromTag,field.rssi,field.rssi_fp
1732085150572620650,1732085150572330713,12,0.69,0.87,0.5,6.128732666666667,-79.16,-81.08
1732085150672740340,1732085150672555923,12,0.69,0.87,0.5,6.128732666666667,-78.96,-81.06
1732085150772821392,1732085150772625207,12,0.69,0.87,0.5,6.122478999999999,-78.84,-81.02
1732085150873352308,1732085150873197793,12,0.69,0.87,0.5,6.1287329999999995,-78.81,-81.17
1732085150972866060,1732085150972699642,12,0.69,0.87,0.5,6.1162253333333325,-78.79,-80.82
1732085151073568833,1732085151073344945,12,0.69,0.87,0.5,6.122478999999999,-78.93,-81.04
1732085151173754983,1732085151173547029,12,0.69,0.87,0.5,6.128732666666667,-78.63,-80.9
1732085151274252948,1732085151274053573,12,0.69,0.87,0.5,6.1600019999999995,-79.08,-80.98
1732085151373582465,1732085151373280048,12,0.69,0.87,0.5,6.141240666666666,-78.69,-80.58
1732085151473302312,1732085151473157167,12,0.69,0.87,0.5,6.134987,-79.07,-81.15
1732085151672720165,1732085151672572612,12,0.69,0.87,0.5,6.116225333333333,-79.01,-81.49
1732085151773596866,1732085151773289442,12,0.69,0.87,0.5,6.1287329999999995,-78.81,-80.69
1732085151873610961,1732085151873401880,12,0.69,0.87,0.5,6.134986666666666,-78.87,-80.76
1732085151973320482,1732085151973109245,12,0.69,0.87,0.5,6.147494333333333,-78.93,-80.74
1732085152074531997,1732085152074317216,12,0.69,0.87,0.5,6.141240333333333,-78.87,-80.85
1732085152173644411,1732085152173420429,12,0.69,0.87,0.5,6.128732666666667,-79.03,-81.31
1732085152272268347,1732085152272167205,12,0.69,0.87,0.5,6.122478999999999,-79.36,-80.61
1732085152371863781,1732085152371631622,12,0.69,0.87,0.5,6.122478999999999,-79.04,-81.36
1732085152472096652,1732085152471788883,12,0.69,0.87,0.5,6.134986666666666,-78.76,-80.82
1732085152572159973,1732085152571958541,12,0.69,0.87,0.5,6.141240333333333,-79.13,-81.14
1732085152671905142,1732085152671622514,12,0.69,0.87,0.5,6.153748,-79.04,-81.07
1732085152771825574,1732085152771626710,12,0.69,0.87,0.5,6.147494333333333,-78.92,-80.79
1732085152871880324,1732085152871664047,12,0.69,0.87,0.5,6.1287329999999995,-79.04,-81.18
1732085153002323342,1732085153002073049,12,0.69,0.87,0.5,6.109971666666667,-78.93,-80.66
1732085153072057121,1732085153071739435,12,0.69,0.87,0.5,6.116225333333333,-79.28,-80.77
1732085153171831753,1732085153171632051,12,0.69,0.87,0.5,6.128733,-78.69,-80.92
1732085153272332008,1732085153271997690,12,0.69,0.87,0.5,6.147494333333333,-78.74,-81.07
1732085153372388068,1732085153372136354,12,0.69,0.87,0.5,6.147494333333333,-78.95,-80.64
1732085153471878989,1732085153471601247,12,0.69,0.87,0.5,6.141240666666666,-79.01,-80.85
1732085153571949101,1732085153571641445,12,0.69,0.87,0.5,6.1287329999999995,-78.92,-80.91
1732085153670906506,1732085153670454978,12,0.69,0.87,0.5,6.1287329999999995,-78.67,-80.71
1732085153770993625,1732085153770523309,12,0.69,0.87,0.5,6.1287329999999995,-78.81,-80.72
1732085153873578265,1732085153873461008,12,0.69,0.87,0.5,6.141240666666666,-78.7,-81.2
1732085153973428228,1732085153973304510,12,0.69,0.87,0.5,6.134986666666666,-78.69,-80.61
1732085154073464019,1732085154073244333,12,0.69,0.87,0.5,6.141240333333333,-78.72,-81.33
1732085154173607852,1732085154173412322,12,0.69,0.87,0.5,6.134986666666666,-78.87,-81.12
1732085154272845658,1732085154272593259,12,0.69,0.87,0.5,6.1287329999999995,-78.93,-81.2
1732085154370859675,1732085154370455026,12,0.69,0.87,0.5,6.134987,-78.67,-80.61
1732085154470843406,1732085154470462560,12,0.69,0.87,0.5,6.1412406666666675,-79.23,-81.07
1732085154570890541,1732085154570461750,12,0.69,0.87,0.5,6.153748333333333,-78.72,-81.27
1732085154670902198,1732085154670458316,12,0.69,0.87,0.5,6.141240666666666,-78.74,-80.89
