timestamp,Transmission #,Reception #,maxNoise,Distance,Channel,FirstPathAmp1,FirstPathAmp2,FirstPathAmp3,Max Growth CIR,Rx Preamble Count,Standard Noise,RSSI(dBm),RSSI_fp(dBm),rtd_init,rtd_resp,resp_rx_ts,poll_tx_ts,resp_tx_ts,poll_rx_ts,anchor_id
1726036880.875493,25192,22708,911,20.281103,5.0,10516.0,13509.0,11117.0,3831.0,230.0,40.0,-81.97,-82.2,72114525.0,72105883.0,1893152521.0,1821037996.0,-1221958533,-1294064416.0,12.0
1726036881.0182185,25193,22709,785,20.262342,5.0,6908.0,12497.0,10565.0,2867.0,230.0,36.0,-83.23,-83.41,72114338.0,72105694.0,-379000754.0,-451115092.0,800852603,728746909.0,12.0
1726036881.161337,25194,22710,937,20.224819,5.0,10274.0,14929.0,12239.0,4283.0,230.0,36.0,-81.48,-81.56,72114324.0,72105699.0,1643764288.0,1571649964.0,-1471352197,-1543457896.0,12.0
1726036881.3039763,25195,22711,680,20.224819,5.0,11324.0,13651.0,10682.0,3953.0,230.0,28.0,-81.83,-81.98,72114267.0,72105638.0,-628382201.0,-700496468.0,551466107,479360469.0,12.0
1726036881.446964,25196,22712,801,20.262342,5.0,3848.0,13574.0,14736.0,4354.0,230.0,32.0,-81.41,-83.14,72114331.0,72105686.0,1394688071.0,1322573740.0,-1720433541,-1792539227.0,12.0
1726036881.5895662,25197,22713,798,20.243579,5.0,9161.0,14462.0,12940.0,4282.0,230.0,32.0,-81.48,-81.97,72114636.0,72106010.0,-876904584.0,-949019220.0,302938235,230832225.0,12.0
1726036881.732749,25198,22714,865,20.224819,5.0,9748.0,13934.0,11449.0,3802.0,230.0,36.0,-82.0,-82.13,72114400.0,72105770.0,1146304140.0,1074189740.0,-1968823173,-2040928943.0,12.0
1726036881.8753233,25199,22715,865,20.224819,5.0,9890.0,14104.0,11824.0,3946.0,230.0,36.0,-81.84,-82.02,72114396.0,72105777.0,-1125386616.0,-1197501012.0,54450811,-17654966.0,12.0
1726036882.0184891,25200,22716,998,20.281103,5.0,5694.0,14366.0,14269.0,4474.0,230.0,40.0,-81.29,-82.49,72114392.0,72105746.0,898002564.0,825888172.0,2077837435,2005731689.0,12.0
1726036882.161053,25201,22717,998,20.206056,5.0,14078.0,14393.0,11077.0,4828.0,230.0,40.0,-80.96,-81.1,72114407.0,72105788.0,-1373599085.0,-1445713492.0,-193766789,-265872577.0,12.0
1726036882.3039052,25202,22718,950,20.206056,5.0,12218.0,14094.0,11746.0,4366.0,230.0,40.0,-81.4,-81.6,72114711.0,72106093.0,649715139.0,577600428.0,1829544571,1757438478.0,12.0
1726036882.4470823,25203,22719,935,20.262342,5.0,12026.0,15297.0,12368.0,4845.0,230.0,36.0,-80.95,-81.1,72114472.0,72105829.0,-1621848876.0,-1693963348.0,-442022277,-514128106.0,12.0
1726036882.589574,25204,22720,1034,20.262342,5.0,12273.0,15325.0,11471.0,4677.0,230.0,40.0,-81.1,-81.05,72114471.0,72105833.0,401581779.0,329467308.0,1581405819,1509299986.0,12.0
1726036882.7327712,25205,22721,838,20.243579,5.0,13916.0,14949.0,10067.0,4627.0,230.0,32.0,-81.15,-80.91,72114489.0,72105855.0,-1869908251.0,-1942022740.0,-690086789,-762192644.0,12.0
1726036882.8752809,25206,22722,1029,20.243579,5.0,9471.0,15274.0,13240.0,4603.0,230.0,40.0,-81.17,-81.52,72114511.0,72105883.0,153458427.0,81343916.0,1333277307,1261171424.0,12.0
1726036883.0184453,25207,22723,1030,20.243579,5.0,8703.0,15144.0,13111.0,4367.0,230.0,40.0,-81.4,-81.7,72114264.0,72105626.0,-2118283772.0,2104569260.0,-938467717,-1010573343.0,12.0
1726036883.161042,25208,22724,934,20.262342,5.0,7296.0,14990.0,13033.0,4250.0,230.0,36.0,-81.52,-81.96,72114514.0,72105871.0,-95086338.0,-167200852.0,1084726907,1012621036.0,12.0
1726036883.3041046,25209,22725,859,20.262342,5.0,13918.0,14083.0,9808.0,4504.0,230.0,36.0,-81.26,-81.26,72114551.0,72105912.0,1928239907.0,1856125356.0,-1186916741,-1259022653.0,12.0
